TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_month_return,last_month_return,last_month_volume,1_month_ma,2_month_ma,3_month_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
ABBV,2023-02-28,2834.0,ABBVIE INC,264908214.7510753,1768529.3684210526,6290905.421052632,149.7900010526316,154.745,143.44,13.0,0.0,2.0,-0.02611363977213843,0.04162448785388251,0.03554210743047781,-0.07687269474522296,5988489.8,149.7900010526316,151.6910005263158,,False,11.305000000000007,9,0,1,1
ABBV,2023-03-31,2834.0,ABBVIE INC,273943125.36469567,1769400.0,6695209.173913044,154.8226095652174,159.7,146.575,24.0,1.0,4.0,0.03505299660820427,0.03554210743047781,-0.043139595774650874,0.04162448785388251,6290905.421052632,154.8226095652174,152.3063053089245,152.73487020594965,False,13.125,9,1,1,1
ABBV,2023-04-30,2834.0,ABBVIE INC,283918855.2631579,1769400.0,5252647.315789473,160.46052631578948,166.2,147.16,13.0,1.0,3.0,0.014642652863053884,-0.043139595774650874,-0.08708309743817799,0.03554210743047781,6695209.173913044,160.46052631578948,157.64156794050342,155.02437897787948,True,19.039999999999992,9,1,1,1
ABBV,2023-05-31,2834.0,ABBVIE INC,256156163.75704095,1769167.7272727273,5475569.409090909,144.78818136363637,155.02,135.25,22.0,0.0,3.0,0.002482705725674217,-0.08708309743817799,-0.0234150420616156,-0.043139595774650874,5252647.315789473,144.78818136363637,152.6243538397129,153.35710574821442,False,19.77000000000001,9,0,1,1
ABBV,2023-06-30,2834.0,ABBVIE INC,240090463.32652855,1764290.0,6457513.904761905,136.08333285714284,139.67,130.9601,15.0,0.0,4.0,0.06472687309789893,-0.0234150420616156,0.12251876141255447,-0.08708309743817799,5475569.409090909,136.08333285714284,140.4357571103896,147.11068017885623,False,8.709899999999976,9,0,1,1
ABBV,2023-07-31,2834.0,ABBVIE INC,246209315.935,1764290.0,5993199.55,139.5515,151.75999,132.7,23.0,0.0,6.0,0.031138922990452178,0.12251876141255447,-0.017516371828971478,-0.0234150420616156,6457513.904761905,139.5515,137.81741642857142,140.14100474025972,False,19.05999,9,0,1,1
ABBV,2023-08-31,2834.0,ABBVIE INC,263439414.70989436,1764322.9130434783,3902970.4782608696,149.31478260869565,153.60001,145.94,14.0,0.0,3.0,-0.017717116734410787,-0.017516371828971478,0.01428989118058932,0.12251876141255447,5993199.55,149.31478260869565,144.43314130434783,141.64987182194616,True,7.66001,9,0,1,1
ABBV,2023-09-30,2834.0,ABBVIE INC,266811564.708,1765047.0,4252997.85,151.16400000000002,154.88,143.74001,17.0,0.0,2.0,-0.048719958330245894,0.01428989118058932,-0.043413016639127666,-0.017516371828971478,3902970.4782608696,151.16400000000002,150.23939130434783,146.67676086956521,True,11.139989999999983,9,0,1,1
ABBV,2023-10-31,2834.0,ABBVIE INC,258627520.7385723,1765047.0,5043425.090909091,146.52727136363637,150.39999,136.03,30.0,1.0,4.0,-0.021980107591409892,-0.043413016639127666,0.008570921685291832,0.01428989118058932,4252997.85,146.52727136363637,148.84563568181818,149.00201799077735,False,14.369990000000001,9,1,1,1
ABBV,2023-11-30,2834.0,ABBVIE INC,246461877.1942633,1765070.3333333333,5304221.714285715,139.63285666666667,143.95,135.85001,11.0,0.0,2.0,0.0891784857429756,0.008570921685291832,0.08834953162941317,-0.043413016639127666,5043425.090909091,139.63285666666667,143.08006401515152,145.77470934343435,False,8.099989999999991,9,0,1,1
ABBV,2023-12-31,2834.0,ABBVIE INC,267383518.26753703,1765537.0,5506481.85,151.446001,155.89,142.28011,14.0,0.0,1.0,0.044229197270271525,0.08834953162941317,,0.008570921685291832,5304221.714285715,151.446001,145.53942883333332,145.86870967676768,False,13.609889999999979,9,0,1,1
ABC,2023-01-31,5122.0,AMERISOURCEBERGEN CORP,33780721.912,205669.0,1372657.95,164.248,169.16499,157.64,10.0,0.0,0.0,0.06175077573839571,0.019612587100138024,-0.07642624503781148,,,164.248,,,False,11.524990000000003,5,0,0,1
ABC,2023-02-28,5122.0,AMERISOURCEBERGEN CORP,32526228.505793158,205489.47368421053,1450047.894736842,158.28421210526318,168.575,153.015,5.0,0.0,0.0,-0.02611363977213843,-0.07642624503781148,0.02924956971388326,0.019612587100138024,1372657.95,158.28421210526318,161.26610605263159,,False,15.560000000000002,5,0,0,1
ABC,2023-03-31,5122.0,AMERISOURCEBERGEN CORP,31163736.499663476,202258.0,1178710.4782608696,154.07912913043478,161.0,147.48,7.0,0.0,0.0,0.03505299660820427,0.02924956971388326,0.042095633872315075,-0.07642624503781148,1450047.894736842,154.07912913043478,156.18167061784897,158.870447078566,False,13.52000000000001,5,0,0,1
ABC,2023-04-30,5122.0,AMERISOURCEBERGEN CORP,33631567.22383684,202258.0,838141.7368421053,166.28052894736842,168.82001,160.5069,3.0,0.0,0.0,0.014642652863053884,0.042095633872315075,0.022662205090789422,0.02924956971388326,1178710.4782608696,166.28052894736842,160.1798290389016,159.54795672768878,True,8.313109999999995,5,0,0,1
ABC,2023-05-31,5122.0,AMERISOURCEBERGEN CORP,34441181.57626909,202267.45454545456,1615135.7727272727,170.27545454545455,176.62,163.37,12.0,0.0,1.0,0.002482705725674217,0.022662205090789422,0.1309410814824692,0.042095633872315075,838141.7368421053,170.27545454545455,168.2779917464115,163.54503754108592,True,13.25,5,0,1,1
ABC,2023-06-30,5122.0,AMERISOURCEBERGEN CORP,36854114.48812762,202466.0,1346323.6666666667,182.0261895238095,193.435,170.17999,3.0,0.0,0.0,0.06472687309789893,0.1309410814824692,-0.02873596238399112,0.022662205090789422,1615135.7727272727,182.0261895238095,176.15082203463203,172.86072433887747,True,23.25501,5,0,0,1
