"TICKER","date","SICCD","COMNAM","market_cap","SHROUT","VOL","PRC","ASKHI","BIDLO","total","negative","positive","sprtrn","RET","next_month_return","last_month_return","last_month_volume","X1_month_ma","X2_month_ma","X3_month_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_2","move_avg_3","lasso_pred","pred_forest","log_pred"
"ABBV","2023-04-30",2834,"ABBVIE INC",1.74566972942701,1.29112708012598,-0.308658400883938,1.739424782811,1.45921647044946,1.17346806240833,13,1,3,-0.103955782724765,-0.706512006027947,-0.087083097438178,0.697270667646046,1.33162887988418,1.739424782811,1.66899830940195,1.49201293771005,"1",0.943396267305808,"3","1","1","1","0","0",0.0238440773594694,0.041387676286695,"Negative"
"ABBV","2023-05-31",2834,"ABBVIE INC",-0.428830907734582,1.185955554205,-0.0450194360086568,-0.465652463342474,0.0655986185945324,-0.882210411397483,22,0,3,-0.390382808037568,-1.40012178827958,-0.0234150420616156,-0.615065783054512,-0.29502865556957,-0.465652463342474,0.827058101449926,1.15079652426212,"0",1.08372769237046,"2","0","1","1","1","1",0.0238440773594694,-0.0135946762529938,"Positive"
"ABBV","2023-06-30",2834,"ABBVIE INC",-1.68716984849972,-1.02264649013572,1.11627788795656,-1.69041260175717,-1.84782124061596,-1.62265164437645,15,0,4,1.07577584397614,-0.395177158143843,0.122518761412554,-1.3480018616511,-0.0436578732035468,-1.69041260175717,-1.21831398329187,-0.127567988358317,"0",-1.04240873825622,"1","0","1","1","1","1",0.0238440773594694,0.0231418900058216,"Positive"
"ABBV","2023-07-31",2834,"ABBVIE INC",-1.20791340130376,-1.02264649013572,0.567156201302388,-1.20244628427762,-0.340770624091124,-1.32234308211158,23,0,6,0.284613141791573,1.90826043374213,-0.0175163718289715,-0.286078867965338,1.06359961061642,-1.20244628427762,-1.65769852097622,-1.55394946785452,"0",0.947239041534634,"1","0","1","1","0","0",0.0238440773594694,0.0231418900058216,"Negative"
"ABBV","2023-08-31",2834,"ABBVIE INC",0.141626529149663,-1.00774368580756,-1.90485462841996,0.171234067573177,-0.111407053449788,0.962894784654921,14,0,3,-0.866188746478157,-0.302071801930633,0.0142898911805893,2.14795905809778,0.540030766937688,0.171234067573177,-0.547511738875982,-1.24515172263664,"1",-1.2442341627235,"2","0","1","1","0","0",0.0238440773594694,-0.0359148178586765,"Negative"
"ABBV","2023-09-30",2834,"ABBVIE INC",0.405748698928107,-0.679881990588145,-1.49089451977098,0.431416395438309,0.0481472322564545,0.583174206519907,17,0,2,-1.59645933024096,0.199962271940416,-0.0434130166391277,-0.187694623069422,-1.81694744597005,0.431416395438309,0.426836820746222,-0.216371903522137,"1",-0.575260803002325,"2","0","1","1","0","0",0.0238440773594694,-0.0359148178586765,"Negative"
"ABBV","2023-10-31",2834,"ABBVIE INC",-0.235262955945412,-0.679881990588145,-0.556095207076947,-0.220964907030985,-0.510298377089575,-0.747581594473173,30,1,4,-0.966603310481685,-0.710827715497915,0.00857092168529183,0.342803785171628,-1.42225056787905,-0.220964907030985,0.192950270343275,0.25950444423381,"0",0.0456576942015128,"2","1","1","1","1","1",0.0238440773594694,0.103067845972799,"Negative"
"ABBV","2023-11-30",2834,"ABBVIE INC",-1.18813165143021,-0.669316814468264,-0.247663903513826,-1.19099951386533,-1.31430742970906,-0.778648056983695,11,0,2,1.65173251507886,0.109693334869581,0.0883495316294132,-0.619626184675451,-0.530951230930578,-1.19099951386533,-0.774572045921999,-0.400981588974497,"0",-1.15965468272358,"1","0","1","1","1","1",0.0238440773594694,-0.0494898298776144,"Positive"
"ADBE","2023-03-31",7372,"ADOBE INC",-1.12908589319829,1.32650511500752,0.56900010567221,-1.13135595072421,-1.17145715332396,-1.13208236112937,18,0,8,0.376808975418333,1.33255544456385,-0.0202649742450262,-1.78639786298589,-0.0496493178389876,-1.13135595072421,-1.14233667657491,-1.24630679941619,"0",-0.322704460845743,"0","0","1","1","0","0",0.0238440773594694,-0.0219037543497277,"Negative"
"ADBE","2023-04-30",7372,"ADOBE INC",-0.896882876326267,1.20637795682357,-1.19638251237069,-0.902105336280281,-1.16873211335055,-0.754957246939215,3,0,0,-0.103955782724765,-0.722796562458038,0.106552665090294,1.24068125258941,0.591121287694955,-0.902105336280281,-1.06940427419231,-1.1413856929488,"1",-1.92486724263294,"0","0","0","1","0","0",0.0238440773594694,-0.0359148178586765,"Positive"
