TICKER,YEAR,SALARY_SALARY_mean,SALARY_SALARY_std,BONUS_BONUS_mean,BONUS_BONUS_std,TDC1_TDC1_mean,TDC1_TDC1_std,SAL_PCT_SAL_PCT_mean,SAL_PCT_SAL_PCT_std,TDC1_PCT_TDC1_PCT_mean,TDC1_PCT_TDC1_PCT_std,PAGE_PAGE_mean,PAGE_PAGE_std,ISR_ISR_mean,ISR_ISR_std,TENURE_TENURE_mean,TENURE_TENURE_std
AAPL,2014,952.5135714285715,404.4857846665142,71.42857142857143,188.9822365046136,24990.54283333333,25011.522627300237,12.5092,6.921077603957349,459.70475,422.42417056427615,60.285714285714285,1.2535663410560176,0.08895971265169172,0.0873152331029463,5.714285714285714,6.26403186758299
AAPL,2015,1166.6666666666667,408.24829046386304,0.0,0.0,22747.671000000002,6114.3469985974125,41.5732,58.368519183717524,7.513499999999999,59.640656432224716,61.333333333333336,2.160246899469287,0.06544083554300797,0.0632409068317566,5.166666666666667,6.431692364119002
AAPL,2016,1333.3333333333333,816.4965809277261,0.0,0.0,20479.468666666668,5747.489495880848,8.333333333333334,20.41241452319315,-10.450666666666667,2.3702376814713473,61.333333333333336,2.160246899469287,0.09366622703992099,0.12212193827563513,6.166666666666667,6.431692364119002
AAPL,2017,1358.9745,832.1982184272565,0.0,0.0,22272.87283333333,4628.544314417499,1.923,0.0,13.99,18.235227596605423,61.166666666666664,2.4013884872437163,0.07488798310641266,0.08011171328191231,6.166666666666667,6.911343333004567
AAPL,2018,1376.923,908.7022282601711,0.0,0.0,24395.021399999998,4871.1776703758,-1.8869999999999998,0.0,13.893,7.262433545306972,60.4,1.51657508881031,0.06750133814949602,0.06923343429229392,6.6,8.294576541331088
AAPL,2019,1251.3101666666666,868.6424397991193,0.0,0.0,21440.474,5410.936848465226,-4.784,18.855038796035398,-11.5612,9.507032328755383,59.666666666666664,2.25092573548455,0.07544689142754439,0.09040343013003849,6.5,7.893034904268446
AAPL,2020,1400.0,894.427190999916,0.0,0.0,23959.1442,5137.31028639109,2.7920000000000003,6.243101793179414,15.4494,15.88034251204929,59.2,2.167948338867881,0.07109343793792454,0.07380767115241711,7.6,8.820430828479978
AAPL,2021,1400.0,894.427190999916,0.0,0.0,41336.9834,32086.13315626572,0.0,0.0,115.92999999999999,253.00159112740775,59.2,2.167948338867881,0.03572013433256589,0.002982799440328845,8.6,8.820430828479978
AAPL,2022,1400.0,894.427190999916,0.0,0.0,41604.2544,32320.038611492248,0.0,0.0,0.621,0.07929060473977986,59.2,2.167948338867881,0.035500608483513066,0.0029771147499402153,9.6,8.820430828479978
AAPL,2023,1400.0,894.427190999916,0.0,0.0,34197.133799999996,16218.601825592143,0.0,0.0,-7.8922,15.948132342064385,59.2,2.167948338867881,0.03918345638394778,0.0046272871982215,10.6,8.820430828479978
AMZN,2014,148.368,37.69107480558228,0.0,0.0,6138.2856,2664.825820777655,0.0,0.0,3196.5896000000002,1969.576116387813,58.8,3.2710854467592245,0.02824648908732951,0.011825898772290944,10.0,5.916079783099616
AMZN,2015,138.69416666666666,48.402405586568385,0.0,0.0,1687.1581666666668,3049.603495543932,-8.7378,26.18818559388947,-78.2136,43.72937804611449,58.833333333333336,2.926886855802025,0.628046399482559,0.4677705749853119,9.333333333333334,6.683312551921141
AMZN,2016,145.56933333333333,39.75824325428208,0.0,0.0,20122.203,14171.853883379097,-6.6646,16.96037012567827,9810.512999999999,9759.301204465384,57.333333333333336,3.265986323710905,0.017724719935567568,0.019226395474330294,8.0,7.155417527999327
AMZN,2017,153.368,40.50946951022686,0.0,0.0,480.5536,671.6355256024653,0.438,0.9793977741449079,-78.90180000000001,44.12597148165692,56.4,2.607680962081059,0.7713001088474642,0.4053088039704792,8.8,7.981227975693966
AMZN,2018,153.368,40.50946951022686,0.0,0.0,11693.9128,7963.230285559228,0.0,0.0,6099.1626,4380.513229020351,56.4,2.607680962081059,0.02126143853463113,0.0164373103859316,9.8,7.981227975693966
AMZN,2019,153.368,40.50946951022686,0.0,0.0,12040.2626,25586.34750418196,0.0,0.0,32.18919999999999,240.57463307506052,56.4,2.607680962081059,0.47285089704652056,0.4435623766291573,10.8,7.981227975693966
AMZN,2020,147.368,37.20264936802216,0.0,0.0,23633.466,17519.864649877523,0.0,0.0,6866.928,5948.2060819985045,56.4,3.974921382870358,0.015126367537212757,0.01892896388440646,8.8,9.959919678390985
AMZN,2021,143.59366666666668,38.657098296000775,0.0,0.0,58706.2505,82879.62353143893,1.875,4.192627457812105,63.275,246.69239667650885,56.333333333333336,3.559026084010437,0.33578932486639884,0.4996380412705943,8.333333333333334,9.605553948974867
AMZN,2022,275.7228333333333,95.02427656218522,0.0,0.0,20611.953833333333,18299.76312262596,92.59700000000001,67.24584204989925,4386.3552,6074.335491108488,57.333333333333336,1.8618986725025264,0.057090279316613646,0.09304280806671372,9.0,9.899494936611665
GOOGL,2014,464.58366666666666,483.50353669881946,3166.6666666666665,2804.757862395017,54435.032999999996,54374.65678716687,0.0,0.0,406.8292,394.99792813849035,57.666666666666664,6.889605697474033,0.34047828672039154,0.5108853431449126,7.5,4.277849927241488
GOOGL,2015,470.60137499999996,405.67730466677136,1375.0,2559.994419636775,30471.88557142857,36853.657131430686,9.274833333333335,51.19181160074985,-30.031600000000005,55.876186916252614,57.625,7.0698050084244075,0.3156776591480978,0.4704367648016755,6.625,5.0124844139408555
GOOGL,2016,550.0002857142857,434.93252350248326,0.0,0.0,34578.49242857143,74216.93843630575,10.568,26.449765866638593,9.535599999999999,62.80755459576499,58.42857142857143,8.58015428876705,0.653470016191334,0.4546846419814988,7.142857142857143,5.698788509515903
GOOGL,2017,533.3336666666667,473.9897045298207,0.0,0.0,769.0724999999999,756.5873698995377,0.0,0.0,-32.49816666666666,51.356657696608984,56.833333333333336,8.183316361150085,0.843033271064768,0.2200810984331165,9.166666666666666,5.49241901776136
GOOGL,2018,533.3336666666667,473.9897045298207,0.0,0.0,19613.4638,25272.714035837645,0.0,0.0,2762.0506,3771.9338376125183,56.833333333333336,8.183316361150085,0.429693385061265,0.44662236148130435,10.166666666666666,5.49241901776136
GOOGL,2019,390.0004,356.0191146558005,0.0,0.0,70486.616,140090.30473961914,0.0,0.0,3655.2552499999997,7442.120980987672,54.8,7.259476565152614,0.7411805402047615,0.49265964450070043,10.2,5.540758070878027
