TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_month_return,last_month_return,last_month_volume,1_month_ma,2_month_ma,3_month_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-01-31,3571.0,APPLE INC,2149568275.5525274,15831745.0,72116395.35,135.7789995,147.23,124.17,14.0,1.0,6.0,0.06175077573839571,0.11051835805387511,0.023179512123023605,,,135.7789995,,,False,23.059999999999988,9,1,1,1
AAPL,2023-02-28,3571.0,APPLE INC,2388614205.6,15821946.0,69049311.78947368,150.96842105263158,157.38,141.32001,9.0,1.0,2.0,-0.02611363977213843,0.023179512123023605,0.11864814633096166,0.11051835805387511,72116395.35,150.96842105263158,143.3737102763158,,False,16.05999,9,1,1,1
AAPL,2023-03-31,3571.0,APPLE INC,2451137926.5437365,15817661.652173912,66055920.782608695,154.96478217391305,165.0,143.89999,9.0,0.0,1.0,0.03505299660820427,0.11864814633096166,0.028988870762800767,0.023179512123023605,69049311.78947368,154.96478217391305,152.9666016132723,147.23740090884823,True,21.100009999999997,9,0,1,1
AAPL,2023-04-30,3571.0,APPLE INC,2595359553.461366,15725078.421052631,51032114.7368421,165.04578842105263,169.85001,159.78,4.0,0.0,1.0,0.014642652863053884,0.028988870762800767,0.046068824394633445,0.11864814633096166,66055920.782608695,165.04578842105263,160.00528529748283,156.99299721586576,True,10.070009999999996,9,0,1,1
AAPL,2023-05-31,3571.0,APPLE INC,2715127868.14441,15728702.0,57906605.5,172.62250045454545,179.35001,164.31,22.0,0.0,1.0,0.002482705725674217,0.046068824394633445,0.09433256023255177,0.028988870762800767,51032114.7368421,172.62250045454545,168.83414443779904,164.2110236831704,True,15.040009999999995,9,0,1,1
AAPL,2023-06-30,3571.0,APPLE INC,2897791004.3431916,15724852.761904761,61765900.28571428,184.2833338095238,194.48,176.9306,24.0,1.0,11.0,0.06472687309789893,0.09433256023255177,0.012787055066484587,0.046068824394633445,57906605.5,184.2833338095238,178.45291713203463,173.983874228374,True,17.54939999999999,9,1,1,1
AAPL,2023-07-31,3571.0,APPLE INC,3009903665.747934,15643095.4,49777763.9,192.41150050000002,198.23,186.60001,2.0,1.0,0.0,0.031138922990452178,0.012787055066484587,-0.0423844792283915,0.09433256023255177,61765900.28571428,192.41150050000002,188.3474171547619,183.10577825468977,True,11.629989999999992,9,1,0,1
AAPL,2023-08-31,3571.0,APPLE INC,2831104529.635955,15634232.0,57433473.217391305,181.08369695652175,196.73,171.96001,7.0,0.0,2.0,-0.017717116734410787,-0.0423844792283915,-0.0886767726612504,0.012787055066484587,49777763.9,181.08369695652175,186.74759872826087,185.92617708868184,False,24.76998999999998,9,0,1,1
AAPL,2023-09-30,3571.0,APPLE INC,2766577619.326647,15630023.45,66830177.6,177.002501,189.98,167.62,9.0,0.0,5.0,-0.048719958330245894,-0.0886767726612504,-0.002572223563010123,-0.0423844792283915,57433473.217391305,177.002501,179.04309897826087,183.49923281884057,False,22.359999999999985,9,0,1,1
AAPL,2023-10-31,3571.0,APPLE INC,2716275130.2500834,15551039.545454545,53310891.59090909,174.66863772727274,182.34,165.67,7.0,0.0,3.0,-0.021980107591409892,-0.002572223563010123,0.11374530371847191,-0.0886767726612504,66830177.6,174.66863772727274,175.83556936363635,177.58494522793148,False,16.670000000000016,9,0,1,1
AAPL,2023-11-30,3571.0,APPLE INC,2890938120.8754745,15552752.0,51936786.952380955,185.87952285714286,192.92999,170.12,14.0,0.0,2.0,0.0891784857429756,0.11374530371847191,0.013581099767842497,-0.002572223563010123,53310891.59090909,185.87952285714286,180.2740802922078,179.18355386147186,True,22.80999,9,0,1,1
AAPL,2023-12-31,3571.0,APPLE INC,3022031935.321128,15552752.0,52604940.6,194.3085015,199.62,187.4511,1.0,0.0,0.0,0.044229197270271525,0.013581099767842497,,0.11374530371847191,51936786.952380955,194.3085015,190.09401217857143,184.9522206948052,True,12.168900000000008,9,0,0,1
ABBV,2023-01-31,2834.0,ABBVIE INC,271624533.752,1768481.0,5988489.8,153.592,168.11,144.41,14.0,0.0,1.0,0.06175077573839571,-0.07687269474522296,0.04162448785388251,,,153.592,,,False,23.700000000000017,2,0,1,1
