,TICKER,YEAR,SALARY_SALARY_mean,SALARY_SALARY_std,BONUS_BONUS_mean,BONUS_BONUS_std,TDC1_TDC1_mean,TDC1_TDC1_std,SAL_PCT_SAL_PCT_mean,SAL_PCT_SAL_PCT_std,TDC1_PCT_TDC1_PCT_mean,TDC1_PCT_TDC1_PCT_std,PAGE_PAGE_mean,PAGE_PAGE_std,ISR_ISR_mean,ISR_ISR_std,TENURE_TENURE_mean,TENURE_TENURE_std,ART_COUNT,CULT_EMPH
51,NVDA,2018,906.828,64.96481067,90,201.246118,6343.7374,4143.8754,-0.2962,0.055885597,-8.1004,21.64191391,62.6,6.066300355,0.174067935,0.060906981,11.2,7.328028384,165,1
52,NVDA,2019,906.828,64.96481067,0,0,5439.3968,3466.889451,0,0,-13.9826,4.690869887,62.6,6.066300355,0.203067651,0.074678789,12.2,7.328028384,180,3
53,NVDA,2020,925.7932,66.32325906,0,0,9642.4942,5561.380952,2.091,0,81.2942,14.61090381,62.6,6.066300355,0.113661554,0.040927347,13.2,7.328028384,221,3
54,NVDA,2021,906.557,64.94525307,0,0,11876.174,6716.98698,-2.078,0,25.0668,15.80403792,62.6,6.066300355,0.0885064,0.027154584,14.2,7.328028384,286,22
55,NVDA,2022,907.117,64.98551873,0,0,12224.873,5173.115361,0.062,0,7.6666,10.97590346,62.6,6.066300355,0.080789871,0.019575987,15.2,7.328028384,287,14
56,TSLA,2014,234.175,115.8797153,0,0,6137.7818,6464.149021,6.351,8.783817393,1673.5738,1349.79726,52.2,4.868264578,0.243429027,0.423780102,4.4,2.19089023,105,17
57,TSLA,2015,209.4298333,133.1857118,0,0,4297.715333,8211.14183,2.053,2.847713586,-65.3695,48.50559525,52.83333333,4.915960401,0.55697469,0.491228715,4.333333333,3.011090611,103,21
58,TSLA,2016,320.3006,191.3652359,0,0,3472.087,3552.191758,251.964,490.4888115,741.564,1549.044171,51.8,4.147288271,0.446733585,0.506125716,4.2,3.492849839,103,26
59,TSLA,2017,283.7345,164.8998052,0,0,4593.150833,6377.867783,-11.5604,30.31061296,12.4532,153.4328881,53.16666667,4.996665555,0.544288415,0.503285251,4.5,3.563705936,128,14
60,TSLA,2018,277.50425,183.0710359,0,0,8921.551,7559.968657,10.122,8.677979431,1509.153333,2654.872204,52,5.597618541,0.279815003,0.481004215,5.75,4.924428901,108,15
61,TSLA,2019,215.7992,118.9501405,0,0,6958.2066,8709.095812,-40.873,35.56502992,-69.48133333,24.06528343,48.2,8.555699854,0.421741227,0.528129221,3.6,4.219004622,92,11
62,TSLA,2020,209.05025,139.514346,0,0,34912.8405,23275.22846,-28.54875,47.66475786,324.61,401.3806534,45.25,6.291528696,0.0059878,0.000170029,4.75,4.856267428,101,3
63,TSLA,2022,200,173.2050808,0,0,202,174.9371316,-0.255333333,0.221125153,0.408666667,0.353915715,43.66666667,6.658328118,0.99009901,0,7.333333333,5.773502692,54,4
64,WMT,2014,985.8295,151.4033691,175.3086667,272.0815533,12569.34233,5415.535633,13.551,8.555744191,-20.00525,8.273662969,61,4.147288271,0.088599036,0.029999557,3.5,2.34520788,210,1
65,WMT,2015,965.5857143,188.9646534,71.56271429,189.3371451,10347.14243,5028.194278,4.416166667,8.368436686,-15.66316667,28.65295903,60.28571429,4.231401884,0.119558949,0.086897058,4,2.516611478,154,1
66,WMT,2016,911.596,350.9210212,0,0,59348.8538,103315.159,11.3085,17.26539909,2.6855,21.12407297,58.2,4.494441011,0.072895648,0.048392429,3.6,3.130495168,129,9
67,WMT,2017,1002.2184,190.3557286,0,0,12908.59,5841.478695,51.00325,97.86813573,-19.998,51.4552076,55.6,5.412947441,0.085448769,0.025796308,4,3.535533906,204,8
68,WMT,2018,1023.5352,186.0124225,0,0,13746.8482,5848.122153,2.476,2.052813516,5.55475,24.13977036,56.8,5.069516742,0.079523153,0.015259487,4.6,3.911521443,254,18
69,WMT,2019,887.2818333,262.0767816,85.85,210.2886944,18732.0525,14116.64531,2.67,2.515546196,-3.05425,6.274455428,54.66666667,4.457203907,0.065831704,0.033362531,4,4.195235393,151,11
70,WMT,2020,1006.8685,165.9894784,0,0,13289.4855,4723.341751,19.0075,29.58200403,-9.920833333,32.26130347,54.66666667,4.457203907,0.079998453,0.018051667,5,4.195235393,156,14
71,WMT,2021,1053.553333,156.4867155,0,0,14330.28117,7213.418781,4.913333333,5.439427421,4.7605,37.2072107,54.66666667,4.457203907,0.103640164,0.089861387,6,4.195235393,235,8
72,WMT,2022,1088.289714,238.0230607,714.2857143,1889.822365,17289.75814,11884.14529,9.687833333,8.11143288,-10.69366667,19.42220712,54.42857143,4.117326918,0.139333541,0.193116466,6.142857143,4.450789122,235,5
