PERMNO,date,SICCD,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,RETX,sprtrn,positive,negative,total,market_cap,tomorrow_return,yesterday_return,yesterday_volume,10_day_ma,20_day_ma,30_day_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
10104,2023-01-03,7372.0,ORCL,ORACLE CORP,82.26,83.84,83.72,8997534.0,0.024223,2696253.0,0.024223,-0.004001,0.0,0.0,0.0,225730301.16,0.009078,,,,,,False,1.5799999999999983,0,0,0,0
10104,2023-01-04,7372.0,ORCL,ORACLE CORP,83.64,85.17,84.48,7836238.0,0.009078,2696253.0,0.009078,0.007539,0.0,0.0,0.0,227779453.44,-0.002012,0.024223,8997534.0,,,,False,1.5300000000000011,1,0,0,0
10104,2023-01-05,7372.0,ORCL,ORACLE CORP,83.22,85.4,84.31,7643784.0,-0.002012,2696253.0,-0.002012,-0.011646,0.0,0.0,0.0,227321090.43,0.016012,0.009078,7836238.0,,,,False,2.180000000000007,0,0,0,0
10104,2023-01-06,7372.0,ORCL,ORACLE CORP,83.82,86.34,85.66,8641597.0,0.016012,2696253.0,0.016012,0.022841,0.0,0.0,0.0,230961031.98,0.012608,-0.002012,7643784.0,,,,False,2.5200000000000102,1,0,0,0
10104,2023-01-09,7372.0,ORCL,ORACLE CORP,86.16,87.59,86.42,7519836.0,0.012608,2696253.0,0.008872,-0.000768,0.0,0.0,0.0,233010184.26,0.000926,0.016012,8641597.0,,,,False,1.4300000000000068,1,0,0,0
10104,2023-01-10,7372.0,ORCL,ORACLE CORP,85.57,86.61,86.5,5703270.0,0.000926,2696253.0,0.000926,0.006978,0.0,0.0,0.0,233225884.5,0.024277,0.012608,7519836.0,,,,False,1.0400000000000063,1,0,0,0
10104,2023-01-11,7372.0,ORCL,ORACLE CORP,87.09,88.66,88.6,8359667.0,0.024277,2696253.0,0.024277,0.012849,0.0,0.0,0.0,238888015.8,0.002032,0.000926,5703270.0,,,,False,1.5699999999999932,1,0,0,0
10104,2023-01-12,7372.0,ORCL,ORACLE CORP,88.17,89.195,88.78,6071099.0,0.002032,2696253.0,0.002032,0.003416,1.0,0.0,1.0,239373341.34,0.004731,0.024277,8359667.0,,,,False,1.0249999999999915,1,0,1,1
10104,2023-01-13,7372.0,ORCL,ORACLE CORP,87.66,89.4662,89.2,5090938.0,0.004731,2696253.0,0.004731,0.003997,0.0,0.0,0.0,240505767.6,-0.006726,0.002032,6071099.0,,,,False,1.806200000000004,1,0,0,0
10104,2023-01-17,7372.0,ORCL,ORACLE CORP,88.425,89.44,88.6,6550412.0,-0.006726,2696253.0,-0.006726,-0.00203,0.0,0.0,1.0,238888015.8,-0.021332,0.004731,5090938.0,86.627,,,False,1.0150000000000006,1,0,0,1
10104,2023-01-18,7372.0,ORCL,ORACLE CORP,86.6,88.63,86.71,6397707.0,-0.021332,2696253.0,-0.021332,-0.015563,0.0,0.0,0.0,233792097.63,-0.00888,-0.006726,6550412.0,86.926,,,False,2.030000000000001,1,0,0,0
10104,2023-01-19,7372.0,ORCL,ORACLE CORP,85.255,86.99,85.94,5597039.0,-0.00888,2696253.0,-0.00888,-0.007638,2.0,0.0,2.0,231715982.82,0.015243,-0.021332,6397707.0,87.07199999999999,,,False,1.7349999999999994,1,0,1,1
10104,2023-01-20,7372.0,ORCL,ORACLE CORP,85.495,87.38,87.25,5567493.0,0.015243,2696253.0,0.015243,0.018918,0.0,0.0,0.0,235248074.25,0.019713,-0.00888,5597039.0,87.366,,,False,1.884999999999991,1,0,0,0
10104,2023-01-23,7372.0,ORCL,ORACLE CORP,86.97,89.13,88.97,7390256.0,0.019713,2696253.0,0.019713,0.011881,0.0,0.0,0.0,239885629.41,0.008205,0.015243,5567493.0,87.697,,,False,2.1599999999999966,1,0,0,0
10104,2023-01-24,7372.0,ORCL,ORACLE CORP,88.0,90.095,89.7,7004581.0,0.008205,2696253.0,0.008205,-0.000711,1.0,0.0,1.0,241853894.1,-0.000669,0.019713,7390256.0,88.025,,,False,2.094999999999999,1,0,1,1
10104,2023-01-25,7372.0,ORCL,ORACLE CORP,87.74,89.86,89.64,5896812.0,-0.000669,2696253.0,-0.000669,-0.000182,0.0,0.0,2.0,241692118.92,0.00212,0.008205,7004581.0,88.339,,,False,2.1200000000000045,1,0,0,1
10104,2023-01-26,7372.0,ORCL,ORACLE CORP,89.09,90.49,89.83,7302869.0,0.00212,2696253.0,0.00212,0.011008,0.0,0.0,0.0,242204406.99,-0.009351,-0.000669,5896812.0,88.46199999999999,,,False,1.3999999999999915,1,0,0,0
10104,2023-01-27,7372.0,ORCL,ORACLE CORP,88.96,89.72,88.99,5676836.0,-0.009351,2696253.0,-0.009351,0.002495,0.0,0.0,0.0,239939554.47,-0.018429,0.00212,7302869.0,88.48299999999999,,,False,0.7600000000000051,1,0,0,0
10104,2023-01-30,7372.0,ORCL,ORACLE CORP,86.99,88.62,87.35,6255306.0,-0.018429,2696253.0,-0.018429,-0.012969,0.0,0.0,0.0,235517699.55,0.012708,-0.009351,5676836.0,88.298,,,False,1.6300000000000097,1,0,0,0
10104,2023-01-31,7372.0,ORCL,ORACLE CORP,87.35,88.48,88.46,6200413.0,0.012708,2696253.0,0.012708,0.014642,0.0,0.0,0.0,238510540.38,0.017974,-0.018429,6255306.0,88.284,87.4555,,False,1.1300000000000097,1,0,0,0
10104,2023-02-01,7372.0,ORCL,ORACLE CORP,88.21,90.645,90.05,6141252.0,0.017974,2696253.0,0.017974,0.010452,0.0,0.0,2.0,242797582.65,-0.00744,0.012708,6200413.0,88.618,87.772,,False,2.4350000000000023,1,0,0,1
10104,2023-02-02,7372.0,ORCL,ORACLE CORP,88.945,91.22,89.38,8269151.0,-0.00744,2696253.0,-0.00744,0.014699,0.0,0.0,3.0,240991093.14,0.002685,0.017974,6141252.0,88.962,88.017,,False,2.2750000000000057,1,0,0,1
10104,2023-02-03,7372.0,ORCL,ORACLE CORP,88.27,90.255,89.62,5671823.0,0.002685,2696253.0,0.002685,-0.010355,0.0,0.0,6.0,241638193.86,-0.012163,-0.00744,8269151.0,89.199,88.2825,,False,1.9849999999999994,1,0,0,1
10104,2023-02-06,7372.0,ORCL,ORACLE CORP,88.4,89.61,88.53,4097311.0,-0.012163,2696253.0,-0.012163,-0.00614,0.0,0.0,6.0,238699278.09,-0.008924,0.002685,5671823.0,89.155,88.426,,False,1.2099999999999937,1,0,0,1
10104,2023-02-07,7372.0,ORCL,ORACLE CORP,86.3,88.02,87.74,9226071.0,-0.008924,2696253.0,-0.008924,0.012873,0.0,0.0,0.0,236569238.22,-0.011967,-0.012163,4097311.0,88.95899999999999,88.492,,False,1.7199999999999989,1,0,0,0
10104,2023-02-08,7372.0,ORCL,ORACLE CORP,86.51,87.915,86.69,7624398.0,-0.011967,2696253.0,-0.011967,-0.011081,0.0,0.0,1.0,233738172.57,-0.000461,-0.008924,9226071.0,88.664,88.5015,,False,1.4050000000000011,1,0,0,1
10104,2023-02-09,7372.0,ORCL,ORACLE CORP,86.325,87.9,86.65,4960391.0,-0.000461,2696253.0,-0.000461,-0.00883,0.0,0.0,1.0,233630322.45,0.005655,-0.011967,7624398.0,88.346,88.404,,False,1.5750000000000028,1,0,0,1
10104,2023-02-10,7372.0,ORCL,ORACLE CORP,86.335,87.38,87.14,5318403.0,0.005655,2696253.0,0.005655,0.002195,0.0,0.0,0.0,234951486.42,0.026165,-0.000461,4960391.0,88.161,88.322,,False,1.0450000000000017,1,0,0,0
10104,2023-02-13,7372.0,ORCL,ORACLE CORP,87.2,89.45,89.42,5560902.0,0.026165,2696253.0,0.026165,0.011449,0.0,0.0,0.0,241098943.26,-0.00369,0.005655,5318403.0,88.368,88.333,,False,2.25,1,0,0,0
10104,2023-02-14,7372.0,ORCL,ORACLE CORP,87.71,89.41,89.09,7484776.0,-0.00369,2696253.0,-0.00369,-0.00028,0.0,0.0,1.0,240209179.77,-0.008418,0.026165,5560902.0,88.431,88.3575,87.78066666666668,True,1.7000000000000028,1,0,0,1
10104,2023-02-15,7372.0,ORCL,ORACLE CORP,88.03,89.21,88.34,4330547.0,-0.008418,2696253.0,-0.008418,0.002773,0.0,0.0,0.0,238186990.02,-0.007018,-0.00369,7484776.0,88.26,88.439,87.93466666666667,False,1.1799999999999926,1,0,0,0
10104,2023-02-16,7372.0,ORCL,ORACLE CORP,87.0126,88.27,87.72,5942533.0,-0.007018,2696253.0,-0.007018,-0.013789,0.0,0.0,0.0,236515313.16,-0.005016,-0.008418,4330547.0,88.09400000000001,88.52799999999999,88.04266666666668,False,1.2573999999999899,1,0,0,0
10104,2023-02-17,7372.0,ORCL,ORACLE CORP,86.51,87.43,87.28,6398487.0,-0.005016,2696253.0,-0.005016,-0.002767,0.0,0.0,0.0,235328961.84,-0.012374,-0.007018,5942533.0,87.86,88.5295,88.14166666666665,False,0.9200000000000017,1,0,0,0
10104,2023-02-21,7372.0,ORCL,ORACLE CORP,86.15,86.94,86.2,5260328.0,-0.012374,2696253.0,-0.012374,-0.020041,0.0,0.0,0.0,232417008.6,0.001392,-0.005016,6398487.0,87.627,88.39099999999999,88.15966666666667,False,0.789999999999992,1,0,0,0
10104,2023-02-22,7372.0,ORCL,ORACLE CORP,85.98,87.18,86.32,5840102.0,0.001392,2696253.0,0.001392,-0.001574,0.0,0.0,0.0,232740558.96,0.026182,-0.012374,5260328.0,87.485,88.22200000000001,88.15633333333332,False,1.2000000000000028,1,0,0,0
10104,2023-02-23,7372.0,ORCL,ORACLE CORP,87.06,89.48,88.58,8637135.0,0.026182,2696253.0,0.026182,0.005329,0.0,0.0,0.0,238834090.74,0.000903,0.001392,5840102.0,87.674,88.169,88.22566666666667,False,2.4200000000000017,1,0,0,0
10104,2023-02-24,7372.0,ORCL,ORACLE CORP,87.14,88.89,88.66,7659188.0,0.000903,2696253.0,0.000903,-0.010538,0.0,0.0,0.0,239049790.98,-0.007895,0.026182,8637135.0,87.875,88.1105,88.22766666666666,False,1.75,1,0,0,0
10104,2023-02-27,7372.0,ORCL,ORACLE CORP,87.36,88.97,87.96,6748861.0,-0.007895,2696253.0,-0.007895,0.003073,0.0,0.0,0.0,237162413.88,-0.006367,0.000903,7659188.0,87.957,88.059,88.20033333333335,False,1.6099999999999994,1,0,0,0
10104,2023-02-28,7372.0,ORCL,ORACLE CORP,87.18,88.01,87.4,7468234.0,-0.006367,2696253.0,-0.006367,-0.003036,1.0,0.0,1.0,235652512.2,-0.012128,-0.007895,6748861.0,87.75500000000001,88.0615,88.14033333333333,False,0.8299999999999983,1,0,1,1
10104,2023-03-01,7372.0,ORCL,ORACLE CORP,85.99,87.21,86.34,5119757.0,-0.012128,2696253.0,-0.012128,-0.004725,0.0,0.0,0.0,232794484.02,0.007297,-0.006367,7468234.0,87.47999999999999,87.9555,88.065,False,1.2199999999999989,1,0,0,0
10104,2023-03-02,7372.0,ORCL,ORACLE CORP,85.87,87.28,86.97,5293599.0,0.007297,2696253.0,0.007297,0.007582,1.0,0.0,3.0,234493123.41,0.026216,-0.012128,5119757.0,87.34299999999999,87.8015,88.07366666666667,False,1.4099999999999966,1,0,1,1
10104,2023-03-03,7372.0,ORCL,ORACLE CORP,87.08,89.29,89.25,5498531.0,0.026216,2696253.0,0.026216,0.016148,0.0,0.0,0.0,240640580.25,0.00549,0.007297,5293599.0,87.496,87.795,88.184,False,2.210000000000008,1,0,0,0
10104,2023-03-06,7372.0,ORCL,ORACLE CORP,89.15,90.665,89.74,7424800.0,0.00549,2696253.0,0.00549,0.000687,0.0,0.0,1.0,241961744.22,-0.015378,0.026216,5498531.0,87.74199999999999,87.80100000000002,88.267,False,1.5150000000000006,1,0,0,1
10104,2023-03-07,7372.0,ORCL,ORACLE CORP,88.05,90.08,88.36,5382366.0,-0.015378,2696253.0,-0.015378,-0.015327,0.0,0.0,0.0,238240915.08,0.001471,0.00549,7424800.0,87.958,87.79249999999999,88.24666666666667,False,2.030000000000001,1,0,0,0
10104,2023-03-08,7372.0,ORCL,ORACLE CORP,88.15,89.085,88.49,5159208.0,0.001471,2696253.0,0.001471,0.001415,0.0,0.0,0.0,238591427.97,-0.018307,-0.015378,5382366.0,88.175,87.83,88.20633333333332,False,0.9349999999999881,1,0,0,0
10104,2023-03-09,7372.0,ORCL,ORACLE CORP,86.53,89.64,86.87,10572293.0,-0.018307,2696253.0,-0.018307,-0.018459,0.0,0.0,1.0,234223498.11,-0.032232,0.001471,5159208.0,88.00399999999999,87.839,88.114,False,3.1099999999999994,1,0,0,1
10104,2023-03-10,7372.0,ORCL,ORACLE CORP,82.88,85.25,84.07,16029345.0,-0.032232,2696253.0,-0.032232,-0.014478,0.0,0.0,0.0,226673989.71,0.01023,-0.018307,10572293.0,87.54499999999999,87.71000000000001,87.922,False,2.3700000000000045,0,0,0,0
10104,2023-03-13,7372.0,ORCL,ORACLE CORP,82.04,85.53,84.93,10299942.0,0.01023,2696253.0,0.01023,-0.00151,0.0,0.0,1.0,228992767.29,-0.004357,-0.032232,16029345.0,87.242,87.59949999999999,87.78666666666666,False,3.489999999999995,1,0,0,1
10104,2023-03-14,7372.0,ORCL,ORACLE CORP,83.43,85.93,84.56,8732248.0,-0.004357,2696253.0,-0.004357,0.016477,0.0,0.0,0.0,227995153.68,-0.018685,0.01023,10299942.0,86.958,87.35650000000001,87.69366666666666,False,2.5,1,0,0,0
