TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_week_return,last_week_return,last_week_volume,2_week_ma,3_week_ma,4_week_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-03-20,3571.0,APPLE INC,-0.9912862919722285,1.3549883156316014,1.6616830522200812,-1.027950873090359,-1.0816461956296344,-1.0691330596968436,5.0,0.0,0.0,1.1253838656469857,1.327718131380956,0.005591461930890773,-1.0488726598650677,0.21875069790688872,-1.2022162436681958,-1.348868154434529,-1.4678551009746397,True,0.12906747415311026,9,0,0,1
AAPL,2023-03-27,3571.0,APPLE INC,-0.7395407568439327,1.3549883156316014,0.5576489941219446,-0.7901915675375737,-0.8289194745365543,-0.6946035689661062,0.0,0.0,0.0,0.12218982125371841,-0.08782232942010264,0.04984922872252806,1.3083566965581321,1.6592446978147828,-0.9604575658671133,-1.137447980643922,-1.2958621475674992,True,-0.5979838379570689,9,0,0,0
AAPL,2023-04-03,3571.0,APPLE INC,-0.5548211774850312,0.9692974912795383,-0.3523564070456947,-0.5920969492033664,-0.5861380409524317,-0.7262853040615225,3.0,0.0,0.0,1.789672921229348,1.4604467871876385,-0.024913879831666708,-0.09643300748390046,0.5348745589815342,-0.7337268748989182,-0.8981310170742801,-1.0746497850618224,True,0.8908844833527945,9,0,0,1
AAPL,2023-04-10,3571.0,APPLE INC,-0.4916504634132304,0.3907612547514439,-0.8867901642226143,-0.49752038480912475,-0.5539615257594779,-0.49432560140396087,0.0,0.0,0.0,-0.443339736256548,-1.1549904665945372,0.019750149842870934,1.4400773038257269,-0.3918929548870595,-0.5814796749776342,-0.7066194939839759,-0.8608478527986492,True,-0.23130025033329596,9,0,0,0
AAPL,2023-04-17,3571.0,APPLE INC,-0.5302503245009327,0.3907612547514439,-0.5937938244619566,-0.5342042220448143,-0.5843818201817318,-0.5112982625740269,0.0,0.0,0.0,0.3254117403932163,0.40749094133327823,0.0006059307250674273,-1.1554962085004146,-0.9361708721728089,-0.5513639474108549,-0.6141954582050038,-0.7214736361115887,True,-0.3008411277903022,9,0,0,0
AAPL,2023-04-24,3571.0,APPLE INC,-0.35761986748230806,0.4114900816823236,-0.6828490772434671,-0.37141838492875184,-0.47673929333698045,-0.2787728045441319,1.0,0.0,0.0,-0.42721072732343224,-0.262231129398663,0.0257664608308128,0.39511845451809097,-0.6377775999744606,-0.48576583758917813,-0.5345196309452293,-0.6032628408139267,True,-1.0184123230090885,9,0,0,1
AAPL,2023-05-01,3571.0,APPLE INC,-0.30599156694042684,0.442583322078634,-0.44082401871594634,-0.3243022175925792,-0.342770420422193,-0.3404401401287014,3.0,0.0,1.0,0.17058236252260964,0.6179595025327621,0.02305722000715127,-0.269517206267987,-0.7284732322326427,-0.3765750654133993,-0.4719793438323176,-0.5276700628737836,True,0.050036996526724185,9,0,1,1
AAPL,2023-05-08,3571.0,APPLE INC,-0.14140244869987098,0.442583322078634,1.0992202657844543,-0.16793565864059032,-0.11753890918990642,-0.2550110789060394,7.0,0.0,0.0,-0.6301443312673848,0.5231821515544326,-0.006861543047748331,0.6039885475921231,-0.4819901218053331,-0.2707235940764815,-0.3397383584678979,-0.4346352788514776,True,0.7897326792823042,9,0,0,1
AAPL,2023-05-15,3571.0,APPLE INC,0.03796842671944294,0.442583322078634,-1.0021240117686807,0.002474189017328795,-0.10057341873344904,0.12347926518641866,9.0,0.0,1.0,-0.26280696272146087,-0.5234657071838567,0.012377691507529098,0.5099310123130609,1.0864214623046455,-0.10073489740025748,-0.20474472991424725,-0.28314233607151273,True,-1.2333666239807948,9,0,1,1
AAPL,2023-05-22,3571.0,APPLE INC,0.10379195910704735,0.442583322078634,-0.4669626528932663,0.06500930292729695,0.004729625479046977,0.09067111114468175,5.0,0.0,0.0,0.5092692557628761,0.14958028786931007,0.0070606267181752,-0.5287677578239154,-1.0536291455171414,0.020442793562874668,-0.0641841024643541,-0.15994804805624063,True,-0.4810581815064465,9,0,0,1
AAPL,2023-05-29,3571.0,APPLE INC,0.05075894662696442,0.442583322078634,-0.5696956337025266,0.014625718878636531,-0.03154142308303393,0.09632300731431462,1.0,0.0,0.0,-0.07058921368080895,-0.0364265489219807,0.023656846950617316,0.13916658271931343,-0.508610224258959,0.026764004892588247,0.001729543599734053,-0.06427587375590159,True,-0.70862524219693,9,0,0,1
AAPL,2023-06-05,3571.0,APPLE INC,0.41752453176375404,0.442583322078634,1.8013475049782466,0.36306839299292987,0.505562604091929,0.4386055733326716,7.0,0.0,4.0,0.6533941825566725,0.5441588963238907,0.023444519857279245,-0.045427568025032845,-0.6132355254876589,0.18181398777963995,0.13192180582182472,0.08561531760176921,True,0.28110970897865095,9,0,1,1
AAPL,2023-06-12,3571.0,APPLE INC,0.5041633836884045,0.442583322078634,-0.2108506904280231,0.4453789326679038,0.4434923096977845,0.48103722625783507,13.0,1.0,7.0,0.5981276249376255,0.5367310592443085,0.006147842578405394,0.5307484427521572,1.8014817411250983,0.4058912954432342,0.26925397042827776,0.21063794121362528,True,-0.29136417199158077,9,1,1,1
AAPL,2023-06-19,3571.0,APPLE INC,0.7501715356686264,0.442583322078634,0.8585540976102561,0.6790969852979897,0.6248481375251098,0.7469416855001546,2.0,0.0,0.0,0.6553472421884635,-0.06835846949059812,0.0018933217300460825,0.5233770186624539,-0.24778073201488518,0.5702889919467309,0.5091608141959834,0.3839818809170113,True,-0.7971326756220286,9,0,0,1
