TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_week_return,last_week_return,last_week_volume,2_week_ma,3_week_ma,4_week_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-01-16,3571.0,APPLE INC,2107760359.7675,15836213.0,65580454.75,133.0975,134.92,128.12,5.0,1.0,1.0,0.027491228214107766,0.03542016120063751,0.0471205417392202,0.0016923762405576248,88091688.4,130.170749,,,False,6.799999999999983,9,1,1,1
AAPL,2023-01-30,3571.0,APPLE INC,2269753085.3760004,15821946.0,64112136.2,143.456,147.23,138.81,3.0,0.0,0.0,-0.0005072268757241316,0.013392935427251285,0.06104957940548128,0.0471205417392202,70635414.4,140.268001,137.87783399999998,135.219375,True,8.419999999999987,9,0,0,1
AAPL,2023-02-13,3571.0,APPLE INC,2412213855.516108,15821946.0,64582952.8,152.45999799999998,155.23,149.22,1.0,0.0,0.0,0.006375568785464525,0.015515961452824856,-0.008450191217153624,0.06104957940548128,97080506.8,150.906998,148.423332,145.58749949999998,True,6.009999999999991,9,0,0,1
AAPL,2023-02-20,3571.0,APPLE INC,2431793584.889865,15821946.0,63625293.25,153.6975025,156.33,150.85001,1.0,0.0,0.0,-0.0140667884415554,-0.008450191217153624,-0.030349761219707005,0.015515961452824856,64582952.8,153.07875024999998,151.83716616666666,149.74187462499998,True,5.479990000000015,9,0,0,1
AAPL,2023-02-27,3571.0,APPLE INC,2346141440.664,15821946.0,52885655.0,148.284,151.3,145.7202,6.0,1.0,2.0,-0.02374412875585441,-0.030349761219707005,0.03995320778537215,-0.008450191217153624,63625293.25,150.99075125000002,151.48050016666664,150.948874625,False,5.579800000000006,9,1,1,1
AAPL,2023-03-06,3571.0,APPLE INC,2352691726.308,15821946.0,63226212.6,148.698,156.3,143.89999,0.0,0.0,0.0,0.016618940389051096,0.03995320778537215,-0.02184268654694488,-0.030349761219707005,52885655.0,148.49099999999999,150.22650083333335,150.78487512499999,False,12.400010000000009,9,0,0,0
AAPL,2023-03-13,3571.0,APPLE INC,2386044420.119892,15821946.0,61976369.0,150.80600199999998,154.535,147.6096,1.0,0.0,1.0,-0.047588544376184094,-0.02184268654694488,0.046055137739088314,0.03995320778537215,63226212.6,149.752001,149.26266733333333,150.37137612499998,False,6.925399999999996,9,0,1,1
AAPL,2023-03-27,3571.0,APPLE INC,2514328695.0001082,15821946.0,65893468.2,158.913998,162.14,156.53999,0.0,0.0,0.0,0.006570278856177003,0.005591461930890773,0.04984922872252806,0.046055137739088314,79825568.6,156.84,154.82866733333333,153.2960005,True,5.6000099999999975,9,0,0,0
AAPL,2023-04-03,3571.0,APPLE INC,2562484581.369296,15782530.0,54409867.2,162.369996,166.28999,155.98,3.0,0.0,0.0,0.03695242565401302,0.04984922872252806,-0.024913879831666708,0.005591461930890773,65893468.2,160.641997,158.68333199999998,156.7139995,True,10.309989999999999,9,0,0,1
AAPL,2023-04-10,3571.0,APPLE INC,2578953012.8114853,15723406.0,47665705.0,164.0199975,166.84,160.08,0.0,0.0,0.0,-0.00373387477215259,-0.024913879831666708,0.019750149842870934,0.04984922872252806,54409867.2,163.19499674999997,161.76799716666665,160.017498375,True,6.759999999999991,9,0,0,0
AAPL,2023-04-17,3571.0,APPLE INC,2568890135.173624,15723406.0,51363104.0,163.380004,166.32001,159.78,0.0,0.0,0.0,0.010273055921758312,0.019750149842870934,0.0006059307250674273,-0.024913879831666708,47665705.0,163.70000075000002,163.25666583333333,162.170998875,True,6.540009999999995,9,0,0,0
AAPL,2023-04-24,3571.0,APPLE INC,2613894420.5931883,15725524.4,50239292.0,166.219998,168.16,163.89,1.0,0.0,0.0,-0.003439998380171949,0.0006059307250674273,0.0257664608308128,0.019750149842870934,51363104.0,164.800001,164.53999983333335,163.997498875,True,4.27000000000001,9,0,0,1
AAPL,2023-05-01,3571.0,APPLE INC,2627353776.569192,15728702.0,53293470.8,167.04199599999998,170.45,162.8,3.0,0.0,1.0,0.007452008507753849,0.0257664608308128,0.02305722000715127,0.0006059307250674273,50239292.0,166.63099699999998,165.54733266666665,165.165498875,True,7.649999999999977,9,0,1,1
