"PERMNO","date","SICCD","TICKER","COMNAM","BIDLO","ASKHI","PRC","VOL","RET","SHROUT","RETX","sprtrn","positive","negative","total","market_cap","tomorrow_return","yesterday_return","yesterday_volume","X10_day_ma","X20_day_ma","X30_day_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_10","move_avg_20","move_avg_30","lasso_pred","pred_forest","log_pred"
10104,"2023-02-14",7372,"ORCL","ORACLE CORP",-1.27723049299637,-1.27149408193444,-1.24127370074401,-0.233760936866852,-0.260484215251335,-0.962653090185188,-0.257211374559752,-0.143322262319284,0,0,1,-1.25526122319764,-0.008418,1.30497441136537,-0.503222625448477,-1.36132570709917,-1.43238945401346,-1.54390001944089,"1",-0.363142530383547,"1","0","0","1","0","0","0",0.000100430627195778,-0.00971428571428572,"Negative"
10104,"2023-02-15",7372,"ORCL","ORACLE CORP",-1.25036672999514,-1.28776258092159,-1.30345877103842,-0.674966285678526,-0.50902220596429,-0.962653090185188,-0.505644769176384,0.226839982378025,0,0,0,-1.31542665474639,-0.007018,-0.261971106913502,-0.2346031050872,-1.37592523183835,-1.42524584150326,-1.53001913744267,"0",-0.815930017194296,"1","0","0","0","0","0","0",0.0000600952028975968,-0.00898092857142857,"Positive"
10104,"2023-02-16",7372,"ORCL","ORACLE CORP",-1.33577670648718,-1.36422452616117,-1.35486509581514,-0.449485876548581,-0.435428046277713,-0.962653090185188,-0.432081581261138,-1.78122654126325,0,0,0,-1.36516341149335,-0.005016,-0.510121112286889,-0.67501005538105,-1.39009786988926,-1.41744484133874,-1.52028449292443,"0",-0.748534341272854,"1","0","0","0","0","0","0",0.00032533288334138,0.0020575,"Positive"
10104,"2023-02-17",7372,"ORCL","ORACLE CORP",-1.37796960425099,-1.43255222190717,-1.3913470037212,-0.385708216901143,-0.330188397925907,-0.962653090185188,-0.326886222542336,-0.444859603479521,0,0,0,-1.40046046466861,-0.012374,-0.436641838276157,-0.449937672184908,-1.41007616690077,-1.41731336380787,-1.51136106878272,"0",-1.04232376059966,"1","0","0","0","0","0","0",0.000369104212988405,0.00165933333333333,"Positive"
10104,"2023-02-21",7372,"ORCL","ORACLE CORP",-1.40819133762738,-1.47241004442568,-1.48089350494516,-0.544910937628822,-0.716978274335789,-0.962653090185188,-0.713513320171179,-2.53925286089888,0,0,0,-1.48709868609881,0.001392,-0.331566476440809,-0.386275423624553,-1.42996908657463,-1.42945312249086,-1.50973862802968,"0",-1.15552063230235,"1","0","0","0","1","1","0",0.000660957211076158,-0.0107775714285714,"Positive"
10104,"2023-02-22",7372,"ORCL","ORACLE CORP",-1.42246271172178,-1.4528878456411,-1.47094389369805,-0.463813658419881,0.00666258441093967,-0.962653090185188,0.00982299757259128,-0.300213826236191,0,0,0,-1.47747221705101,0.026182,-0.71775254656293,-0.545190053519686,-1.44209266852179,-1.44426625763473,-1.51003908002098,"0",-0.798515113855413,"1","0","0","0","1","1","0",0.000823053822843078,0.0124370526315789,"Positive"
10104,"2023-02-23",7372,"ORCL","ORACLE CORP",-1.33179751159262,-1.26580010728894,-1.28355954854421,-0.0725719570713858,1.30980488343254,-0.962653090185188,1.3124168750147,0.536743257008329,0,0,0,-1.29617371665079,0.000903,0.00475865774545696,-0.464239526719106,-1.4259563517048,-1.44891179705855,-1.50378967860187,"0",0.263793989815939,"1","0","0","0","0","0","0",0.000546824484676729,0.00372775,"Positive"
10104,"2023-02-24",7372,"ORCL","ORACLE CORP",-1.32508157084232,-1.31379217930102,-1.27692647437947,-0.209364639928062,-0.0190428042224433,-0.962653090185188,-0.0158715730635197,-1.38705770486923,0,0,0,-1.28975607061892,-0.007895,1.30586665969264,-0.0737058104286098,-1.40879550683593,-1.45403942076219,-1.50360940740709,"0",-0.319605272036363,"1","0","0","0","0","0","0",0.000122444593241257,0.0151927142857143,"Negative"
10104,"2023-02-27",7372,"ORCL","ORACLE CORP",-1.30661273377897,-1.30728477970616,-1.33496587332093,-0.336698813054897,-0.481529530595661,-0.962653090185188,-0.478163663976617,0.263213606160924,0,0,0,-1.34591047339775,-0.006367,-0.0209066029625774,-0.210250955317906,-1.40179456514814,-1.45855348265515,-1.50607311373578,"0",-0.441509595408486,"1","0","0","0","0","0","0",0.000313777787962046,-0.00898092857142857,"Positive"
10104,"2023-02-28",7372,"ORCL","ORACLE CORP",-1.32172360046716,-1.38537357484445,-1.38139739247409,-0.236074788803424,-0.401206762023454,-0.962653090185188,-0.397874698880548,-0.477474619471521,1,0,1,-1.39083399562081,-0.012128,-0.482671354924308,-0.337354706453334,-1.41904078735466,-1.45833435343704,-1.51148124957924,"0",-1.1206908256246,"1","0","1","1","0","0","0",0.000712078673984099,-0.002319125,"Positive"
