"TICKER","date","SICCD","COMNAM","market_cap","SHROUT","VOL","PRC","ASKHI","BIDLO","total","negative","positive","sprtrn","RET","next_week_return","last_week_return","last_week_volume","X2_week_ma","X3_week_ma","X4_week_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_2","move_avg_3","move_avg_4","lasso_pred","pred_forest","log_pred"
"AAPL","2023-01-30",3571,"APPLE INC",-1.67770028701757,1.3549883156316,0.416489288096565,-1.67622975795925,-1.7011796907634,-1.6976872783616,3,0,0,-0.266249523617276,0.185096558135045,0.0610495794054813,1.34534465032498,0.917566511677612,-1.94872262341299,-2.18984094192748,-2.46577853226666,"1",0.293441131450569,"9","0","0","1","0","0","0",0.0102494240380532,0.0304613843176398,"Positive"
"AAPL","2023-02-06",3571,"APPLE INC",-1.31974558727928,1.3549883156316,3.02903175745756,-1.33816195156992,-1.10738752478738,-1.55568211415001,1,0,0,1.03616599259237,1.85226856932215,0.0155159614528249,0.174413113763042,0.39111472014574,-1.58274500769934,-1.85341256435862,-2.10803959385558,"1",2.70851276362823,"9","0","0","1","0","0","0",0.00640789248900406,0.0190467042960451,"Positive"
"AAPL","2023-02-13",3571,"APPLE INC",-1.13123970826964,1.3549883156316,0.453798634612469,-1.16012889583724,-1.23316616093008,-1.10873593576033,1,0,0,0.111503421952559,0.259366361322926,-0.00845019121715362,1.82892327510264,3.05177968553947,-1.31426995524451,-1.53512340384598,-1.79475513073905,"1",-0.46838219993444,"9","0","0","1","0","0","0",0.0111676857979325,0.0114289085524289,"Positive"
"AAPL","2023-02-20",3571,"APPLE INC",-1.05613446887785,1.3549883156316,0.377909951003576,-1.08919627908967,-1.168814300578,-1.01651724431427,1,0,0,-1.01044774978453,-0.579041373923336,-0.030349761219707,0.248118852121464,0.429111297166315,-1.18475830958718,-1.32317541419025,-1.52588462020465,"1",-0.635923272078569,"9","0","0","1","0","0","0",0.011856257890583,0.0114289085524289,"Positive"
"AAPL","2023-02-27",3571,"APPLE INC",-1.38468470947135,1.3549883156316,-0.473140935742365,-1.39949325020735,-1.4630778074607,-1.30673900097031,6,1,2,-1.54157550498173,-1.34515386354741,0.0399532077853721,-0.583921338094387,0.351824759582328,-1.3092753610238,-1.34531903276923,-1.44776776834356,"0",-0.604372406225652,"9","1","1","1","1","1","0",0.00309721966608547,0.0274587794787761,"Positive"
"AAPL","2023-03-06",3571,"APPLE INC",-1.35955868438764,1.3549883156316,0.346285241384921,-1.3757631519867,-1.17056935131488,-1.40971835959819,0,0,0,0.673697040112796,1.11425436255773,-0.0218426865469449,-1.34421535113366,-0.514902309809978,-1.45834710625693,-1.42317361642908,-1.45838179042044,"0",1.55155917175998,"9","0","0","0","0","0","0",0.00858890686560684,-0.0207370056637092,"Positive"
"AAPL","2023-03-13",3571,"APPLE INC",-1.23162218407725,1.3549883156316,0.247242752307252,-1.25493442128786,-1.27382483633435,-1.19984518092124,1,0,1,-2.85024405761102,-1.0475509354439,0.0460551377390883,1.09651414388452,0.319617529303815,-1.38314777599928,-1.48301324621617,-1.48514338124704,"0",-0.179015777714589,"9","0","1","1","0","0","0",0.0138021737456328,0.0349400585134706,"Positive"
"AAPL","2023-03-20",3571,"APPLE INC",-0.991286291972229,1.3549883156316,1.66168305222008,-1.02795087309036,-1.08164619562963,-1.06913305969684,5,0,0,1.12538386564699,1.32771813138096,0.00559146193089077,-1.04887265986507,0.218750697906889,-1.2022162436682,-1.34886815443453,-1.46785510097464,"1",0.12906747415311,"9","0","0","1","0","0","0",0.00630471298065046,0.0190467042960451,"Positive"
"AAPL","2023-03-27",3571,"APPLE INC",-0.739540756843933,1.3549883156316,0.557648994121945,-0.790191567537574,-0.828919474536554,-0.694603568966106,0,0,0,0.122189821253718,-0.0878223294201026,0.0498492287225281,1.30835669655813,1.65924469781478,-0.960457565867113,-1.13744798064392,-1.2958621475675,"1",-0.597983837957069,"9","0","0","0","0","0","0",0.0122906806242471,0.0114289085524289,"Positive"
"AAPL","2023-04-03",3571,"APPLE INC",-0.554821177485031,0.969297491279538,-0.352356407045695,-0.592096949203366,-0.586138040952432,-0.726285304061522,3,0,0,1.78967292122935,1.46044678718764,-0.0249138798316667,-0.0964330074839005,0.534874558981534,-0.733726874898918,-0.89813101707428,-1.07464978506182,"1",0.890884483352794,"9","0","0","1","0","0","0",0.004918215425817,0.00084801897220052,"Positive"
"AAPL","2023-04-10",3571,"APPLE INC",-0.49165046341323,0.390761254751444,-0.886790164222614,-0.497520384809125,-0.553961525759478,-0.494325601403961,0,0,0,-0.443339736256548,-1.15499046659454,0.0197501498428709,1.44007730382573,-0.391892954887059,-0.581479674977634,-0.706619493983976,-0.860847852798649,"1",-0.231300250333296,"9","0","0","0","0","0","0",0.0123453039823326,0.0276502330073517,"Positive"
"AAPL","2023-04-17",3571,"APPLE INC",-0.530250324500933,0.390761254751444,-0.593793824461957,-0.534204222044814,-0.584381820181732,-0.511298262574027,0,0,0,0.325411740393216,0.407490941333278,0.000605930725067427,-1.15549620850041,-0.936170872172809,-0.551363947410855,-0.614195458205004,-0.721473636111589,"1",-0.300841127790302,"9","0","0","0","0","0","0",0.00932456415962641,0.00434454464429993,"Positive"
