EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
Bernard P. Vergnes,,MICROSOFT CORP,,255.655,151.739,0,407.394,,,,012141,1992,MALE,,MSFT,4510,62.75374699
William H. Neukom,,MICROSOFT CORP,,171.75,133.035,2.379,304.785,,,,012141,1992,MALE,,MSFT,4510,56.35119839
Joachim Kempin,,MICROSOFT CORP,,145.916,120.931,2.936,266.847,,,,012141,1992,MALE,,MSFT,4510,54.68152162
"William Henry Gates, III",,MICROSOFT CORP,CEO,266.66,151.58,0,418.24,418.24,52.377,,012141,1993,MALE,67,MSFT,4510,63.75765111
Michael J. Maples,,MICROSOFT CORP,,223.333,211.52,4.664,434.853,3367.773,9.611,,012141,1993,MALE,,MSFT,4510,51.3582751
Steven A. Ballmer,,MICROSOFT CORP,,220.916,146.52,5.099,367.436,372.535,26.781,,012141,1993,MALE,67,MSFT,4510,60.1236678
Bernard P. Vergnes,,MICROSOFT CORP,,322.433,91.523,0,413.956,1146.02,26.12,,012141,1993,MALE,,MSFT,4510,77.89064538
William H. Neukom,,MICROSOFT CORP,,187.273,132.225,4.814,319.498,792.833,9.038,,012141,1993,MALE,,MSFT,4510,58.61476441
Joachim Kempin,,MICROSOFT CORP,,160.75,143,4.589,303.75,,10.166,,012141,1993,MALE,,MSFT,4510,52.9218107
"William Henry Gates, III",,MICROSOFT CORP,CEO,275,182.545,0,457.545,457.545,3.128,9.398,012141,1994,MALE,67,MSFT,4510,60.10337781
Michael J. Maples,,MICROSOFT CORP,,238.75,253.112,4.722,491.862,496.584,6.903,-85.255,012141,1994,MALE,,MSFT,4510,48.54003765
Steven A. Ballmer,,MICROSOFT CORP,,238.75,188.112,4.722,426.862,431.584,8.073,15.851,012141,1994,MALE,67,MSFT,4510,55.93142514
Bernard P. Vergnes,,MICROSOFT CORP,,300.481,196.885,0,497.366,1192.653,-6.808,4.069,012141,1994,MALE,,MSFT,4510,60.41446339
Joachim Kempin,,MICROSOFT CORP,,187.667,177.745,4.917,365.412,1239.438,16.745,,012141,1994,MALE,,MSFT,4510,51.35764562
Paul A. Maritz,,MICROSOFT CORP,,188.75,160.278,4.722,349.028,,,,012141,1994,MALE,,MSFT,4510,54.07875586
"William Henry Gates, III",,MICROSOFT CORP,CEO,275,140.58,0,415.58,415.58,0,-9.172,012141,1995,MALE,67,MSFT,4510,66.17257808
Michael J. Maples,,MICROSOFT CORP,,249.174,197.675,4.65,446.849,451.499,4.366,-9.079,012141,1995,MALE,,MSFT,4510,55.76246114
Steven A. Ballmer,,MICROSOFT CORP,,249.174,162.8,4.77,411.974,416.744,4.366,-3.438,012141,1995,MALE,67,MSFT,4510,60.4829431
Bernard P. Vergnes,,MICROSOFT CORP,,356.66,169.785,0,526.445,3417.443,18.696,186.541,012141,1995,MALE,,MSFT,4510,67.74876768
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,286.442,453.691,99.241,740.133,8471.798,,,012141,1995,MALE,81,MSFT,4510,38.70142258
Paul A. Maritz,,MICROSOFT CORP,,203.75,138.794,4.722,342.544,,7.947,,012141,1995,MALE,,MSFT,4510,59.48140969
"William Henry Gates, III",,MICROSOFT CORP,CEO,340.618,221.97,0,562.588,562.588,23.861,35.374,012141,1996,MALE,67,MSFT,4510,60.54483921
Steven A. Ballmer,,MICROSOFT CORP,,271.869,212.905,4.875,484.774,489.649,9.108,17.494,012141,1996,MALE,67,MSFT,4510,56.08159679
Bernard P. Vergnes,,MICROSOFT CORP,,398.001,226.191,0,624.192,624.192,11.591,-81.735,012141,1996,MALE,,MSFT,4510,63.76259228
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,471.672,608.245,12.633,1079.917,1092.55,64.666,-87.104,012141,1996,MALE,81,MSFT,4510,43.67668997
Paul A. Maritz,,MICROSOFT CORP,,244.382,222.3,5.175,466.682,1195.828,19.942,,012141,1996,MALE,,MSFT,4510,52.36585084
Michel Lacombe,,MICROSOFT CORP,,301.101,169.52,0,470.621,,,,012141,1996,MALE,,MSFT,4510,63.97950793
"William Henry Gates, III",,MICROSOFT CORP,CEO,349.992,241.36,0,591.352,591.352,2.752,5.113,012141,1997,MALE,67,MSFT,4510,59.18505391
Steven A. Ballmer,,MICROSOFT CORP,,316.242,265.472,5.125,581.714,586.839,16.321,19.849,012141,1997,MALE,67,MSFT,4510,54.36382827
Bernard P. Vergnes,,MICROSOFT CORP,,384.088,329.842,0,713.93,713.93,-3.496,14.377,012141,1997,MALE,,MSFT,4510,53.79911196
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,536.127,673.096,50.094,1209.223,1259.317,13.665,15.264,012141,1997,MALE,81,MSFT,4510,44.33648715
Paul A. Maritz,,MICROSOFT CORP,,282.084,243.105,5.025,525.189,530.214,15.427,-55.661,012141,1997,MALE,,MSFT,4510,53.71094977
Michel Lacombe,,MICROSOFT CORP,,333.951,278.05,0,612.001,612.001,10.91,,012141,1997,MALE,,MSFT,4510,54.5670677
"William Henry Gates, III",,MICROSOFT CORP,CEO,368.874,173.423,0,542.297,542.297,5.395,-8.295,012141,1998,MALE,67,MSFT,4510,68.02066027
Steven A. Ballmer,,MICROSOFT CORP,,337.429,205.598,4.8,543.027,547.827,6.7,-6.648,012141,1998,MALE,67,MSFT,4510,62.13853086
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,535.773,572.317,76.833,1108.09,1184.923,-0.066,-5.907,012141,1998,MALE,81,MSFT,4510,48.35103647
Paul A. Maritz,,MICROSOFT CORP,,311.223,205.215,5.314,516.438,521.752,10.33,-1.596,012141,1998,MALE,,MSFT,4510,60.26338108
Michel Lacombe,,MICROSOFT CORP,,335.57,257.503,0,593.073,593.073,0.485,-3.093,012141,1998,MALE,,MSFT,4510,56.58156753
James A. Allchin,,MICROSOFT CORP,,264.9,184.019,3.46,448.919,452.379,,,012141,1998,MALE,,MSFT,4510,59.008418
Jeffrey S. Raikes,,MICROSOFT CORP,,288.93,197.447,4.956,486.377,491.333,,,012141,1998,MALE,65,MSFT,4510,59.40453599
"William Henry Gates, III",,MICROSOFT CORP,CEO,400.213,223.16,0,623.373,623.373,8.496,14.95,012141,1999,MALE,67,MSFT,4510,64.20120859
Steven A. Ballmer,,MICROSOFT CORP,,388.392,272.181,4.8,660.573,665.373,15.103,21.457,012141,1999,MALE,67,MSFT,4510,58.79622691
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,562.465,363.693,50.997,926.158,977.155,4.982,-17.534,012141,1999,MALE,81,MSFT,4510,60.73099838
Paul A. Maritz,,MICROSOFT CORP,,331.213,246.647,4.94,577.86,582.8,6.423,11.701,012141,1999,MALE,,MSFT,4510,57.31717025
Michel Lacombe,,MICROSOFT CORP,,356.983,222.796,0,579.779,579.779,6.381,-2.242,012141,1999,MALE,,MSFT,4510,61.57225426
James A. Allchin,,MICROSOFT CORP,,288.364,217.785,3.415,506.149,509.564,8.858,12.641,012141,1999,MALE,,MSFT,4510,56.97215642
Jeffrey S. Raikes,,MICROSOFT CORP,,309.629,211.82,5.119,521.449,526.568,7.164,7.171,012141,1999,MALE,65,MSFT,4510,59.37857777
"William Henry Gates, III",,MICROSOFT CORP,,439.401,200,0,639.401,639.401,9.792,2.571,012141,2000,MALE,67,MSFT,4510,68.72072455
Steven A. Ballmer,,MICROSOFT CORP,CEO,428.414,200,5.1,628.414,633.514,10.305,-4.788,012141,2000,MALE,67,MSFT,4510,68.17384718
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,585.802,425,57.512,1010.802,118886.242,4.149,12066.569,012141,2000,MALE,81,MSFT,4510,57.95417896
James A. Allchin,,MICROSOFT CORP,,355.263,275,3.925,630.263,137669.317,23.199,26917.081,012141,2000,MALE,,MSFT,4510,56.36742122
Jeffrey S. Raikes,,MICROSOFT CORP,,370.991,258.5,5.25,629.491,137669.87,19.818,26044.747,012141,2000,MALE,65,MSFT,4510,58.93507612
Richard E. Belluzzo,,MICROSOFT CORP,,355.835,293,4447.619,648.835,,,,012141,2000,MALE,69,MSFT,4510,54.84214014
Craig J. Mundie,,MICROSOFT CORP,,258.813,129.06,5.087,387.873,,,,012141,2000,MALE,,MSFT,4510,66.72622224
"William Henry Gates, III",,MICROSOFT CORP,,494.992,171.762,0,666.754,666.754,12.652,4.278,012141,2001,MALE,67,MSFT,4510,74.23907468
Steven A. Ballmer,,MICROSOFT CORP,CEO,494.076,171.444,5.1,665.52,670.62,15.327,5.857,012141,2001,MALE,67,MSFT,4510,74.23909124
"Robert John Herbold, Ph.D.",,MICROSOFT CORP,,626.25,400,57.512,1026.25,1083.762,6.905,-99.088,012141,2001,MALE,81,MSFT,4510,61.02314251
James A. Allchin,,MICROSOFT CORP,,419.576,275,3.2,694.576,32946.484,18.103,-76.068,012141,2001,MALE,,MSFT,4510,60.4075004
Jeffrey S. Raikes,,MICROSOFT CORP,,420.826,275,5.1,695.826,32949.634,13.433,-76.066,012141,2001,MALE,65,MSFT,4510,60.4786254
Richard E. Belluzzo,,MICROSOFT CORP,,468.758,350,2190.616,818.758,51382.436,31.735,,012141,2001,MALE,69,MSFT,4510,57.25232608
Craig J. Mundie,,MICROSOFT CORP,,288.899,165,5.578,453.899,,11.625,,012141,2001,MALE,,MSFT,4510,63.64830061
"William Henry Gates, III",,MICROSOFT CORP,,545.833,205.81,1.667,751.643,753.31,10.271,12.982,012141,2002,MALE,67,MSFT,4510,72.61865008
Steven A. Ballmer,,MICROSOFT CORP,CEO,545.833,205.81,7.167,751.643,758.81,10.476,13.151,012141,2002,MALE,67,MSFT,4510,72.61865008
James A. Allchin,,MICROSOFT CORP,,493.75,400,5.445,893.75,899.195,17.678,-97.271,012141,2002,MALE,,MSFT,4510,55.24475524
Jeffrey S. Raikes,,MICROSOFT CORP,,493.749,250,6.834,743.749,750.583,17.329,-97.722,012141,2002,MALE,65,MSFT,4510,66.38650943
Richard E. Belluzzo,,MICROSOFT CORP,,568.723,350,13680.042,918.723,14598.765,21.326,-71.588,012141,2002,MALE,69,MSFT,4510,61.90364234
Craig J. Mundie,,MICROSOFT CORP,,347.172,280,6,627.172,633.172,20.171,,012141,2002,MALE,,MSFT,4510,55.35514978
Kevin R. Johnson,,MICROSOFT CORP,,340.959,243.1,7.387,584.059,,,,012141,2002,MALE,62,MSFT,4510,58.37749268
"William Henry Gates, III",,MICROSOFT CORP,,550,313.447,2.931,863.447,866.378,0.763,15.009,012141,2003,MALE,67,MSFT,4510,63.69817719
Steven A. Ballmer,,MICROSOFT CORP,CEO,550,313.447,8.931,863.447,872.378,0.763,14.967,012141,2003,MALE,67,MSFT,4510,63.69817719
James A. Allchin,,MICROSOFT CORP,,504.168,400,6.207,904.168,16964.253,2.11,1786.604,012141,2003,MALE,,MSFT,4510,55.7604339
Jeffrey S. Raikes,,MICROSOFT CORP,,522.917,300,7.592,822.917,16884.387,5.907,2149.503,012141,2003,MALE,65,MSFT,4510,63.54431856
Craig J. Mundie,,MICROSOFT CORP,,377.707,410.198,5.875,787.905,9471.393,8.795,1395.864,012141,2003,MALE,,MSFT,4510,47.93813975
Kevin R. Johnson,,MICROSOFT CORP,,379.125,300,8.54,679.125,,11.194,,012141,2003,MALE,62,MSFT,4510,55.82551077
"William Henry Gates, III",,MICROSOFT CORP,,591.667,310,2.787,901.667,904.454,7.576,4.395,012141,2004,MALE,67,MSFT,4510,65.61923637
Steven A. Ballmer,,MICROSOFT CORP,CEO,591.667,310,8.937,901.667,910.604,7.576,4.382,012141,2004,MALE,67,MSFT,4510,65.61923637
James A. Allchin,,MICROSOFT CORP,,558.334,342,1468.381,900.334,2368.715,10.744,-86.037,012141,2004,MALE,,MSFT,4510,62.01409699
Jeffrey S. Raikes,,MICROSOFT CORP,,562.5,400,7.758,962.5,970.258,7.57,-94.254,012141,2004,MALE,65,MSFT,4510,58.44155844
Kevin R. Johnson,,MICROSOFT CORP,,480.336,435,1046.007,915.336,1961.343,26.696,,012141,2004,MALE,62,MSFT,4510,52.47646766
"William Henry Gates, III",,MICROSOFT CORP,,600,400,2.469,1000,1002.469,1.408,10.837,012141,2005,MALE,67,MSFT,4510,60
Steven A. Ballmer,,MICROSOFT CORP,CEO,600,400,9.073,1000,1009.073,1.408,10.814,012141,2005,MALE,67,MSFT,4510,60
James A. Allchin,,MICROSOFT CORP,,570,430,6.846,1000,1006.846,2.089,-57.494,012141,2005,MALE,,MSFT,4510,57
Jeffrey S. Raikes,,MICROSOFT CORP,,570,475,7.81,1045,1052.81,1.333,8.508,012141,2005,MALE,65,MSFT,4510,54.54545455
Kevin R. Johnson,,MICROSOFT CORP,,502.386,550,8.983,1052.386,1061.369,4.591,-45.886,012141,2005,MALE,62,MSFT,4510,47.73780723
"William Henry Gates, III",,MICROSOFT CORP,,616.667,350,2.112,966.667,968.779,2.778,-3.361,012141,2006,MALE,67,MSFT,4510,63.79311593
Steven A. Ballmer,,MICROSOFT CORP,CEO,616.667,350,9.482,966.667,976.149,2.778,-3.263,012141,2006,MALE,67,MSFT,4510,63.79311593
Jeffrey S. Raikes,,MICROSOFT CORP,,595,500,8.006,1095,1103.006,4.386,4.768,012141,2006,MALE,65,MSFT,4510,54.33789954
Kevin R. Johnson,,MICROSOFT CORP,,595,500,1089.825,1095,2184.825,18.435,105.85,012141,2006,MALE,62,MSFT,4510,54.33789954
Brian Kevin Turner,,MICROSOFT CORP,,464.205,375,7096.671,839.205,16162.876,,,012141,2006,MALE,58,MSFT,4510,55.31485156
Steven A. Ballmer,,MICROSOFT CORP,CEO,620,650,9.821,1270,1279.821,0.54,31.109,012141,2007,MALE,67,MSFT,4510,48.81889764
Jeffrey S. Raikes,,MICROSOFT CORP,,600,600,8.162,1200,7713.362,0.84,599.304,012141,2007,MALE,65,MSFT,4510,50
Kevin R. Johnson,,MICROSOFT CORP,,600,600,1141.855,1200,8847.055,0.84,304.932,012141,2007,MALE,62,MSFT,4510,50
Brian Kevin Turner,,MICROSOFT CORP,,595,715,270.514,1310,8085.714,28.176,-49.974,012141,2007,MALE,58,MSFT,4510,45.41984733
Christopher P. Liddell,CFO,MICROSOFT CORP,,520.833,420,2065.854,940.833,6134.187,,,012141,2007,MALE,65,MSFT,4510,55.35870872
Brian Kevin Turner,,MICROSOFT CORP,,595,715,270.514,1310,,,,012141,2007,MALE,58,MSFT,4510,45.41984733
Steven A. Ballmer,,MICROSOFT CORP,CEO,640.833,700,10.001,1340.833,1350.834,3.36,5.549,012141,2008,MALE,67,MSFT,4510,47.79364768
Jeffrey S. Raikes,,MICROSOFT CORP,,620.833,600,8.308,1220.833,4576.92,3.472,-40.662,012141,2008,MALE,65,MSFT,4510,50.8532289
Kevin R. Johnson,,MICROSOFT CORP,,620.833,600,9.713,1220.833,4578.325,3.472,-48.25,012141,2008,MALE,62,MSFT,4510,50.8532289
Brian Kevin Turner,,MICROSOFT CORP,,620.833,1000,9.628,1620.833,4978.24,4.342,-38.432,012141,2008,MALE,58,MSFT,4510,38.30332921
Christopher P. Liddell,CFO,MICROSOFT CORP,,541.667,420,10.185,961.667,2980.536,4,-51.411,012141,2008,MALE,65,MSFT,4510,56.32583836
Brian Kevin Turner,,MICROSOFT CORP,,620.833,1000,9.628,1620.833,1630.461,4.342,,012141,2008,MALE,58,MSFT,4510,38.30332921
Steven A. Ballmer,,MICROSOFT CORP,CEO,665.833,600,10.794,1265.833,1276.627,3.901,-5.493,012141,2009,MALE,67,MSFT,4510,52.60038251
Brian Kevin Turner,,MICROSOFT CORP,,641.667,952.019,10.117,1593.686,4150.451,3.356,-16.628,012141,2009,MALE,58,MSFT,4510,40.26307566
Christopher P. Liddell,CFO,MICROSOFT CORP,,561.667,595.018,10.849,1156.685,2391.902,3.692,-19.749,012141,2009,MALE,65,MSFT,4510,48.55833697
Robert J. Bach,,MICROSOFT CORP,,641.667,1120.01,9.817,1761.677,4318.142,,,012141,2009,MALE,61,MSFT,4510,36.42364633
Stephen A. Elop,,MICROSOFT CORP,,641.667,2840.008,5531.572,3481.675,10384.522,,,012141,2009,MALE,59,MSFT,4510,18.42983621
Brian Kevin Turner,,MICROSOFT CORP,,641.667,952.019,10.117,1593.686,1603.803,3.356,-1.635,012141,2009,MALE,58,MSFT,4510,40.26307566
Steven A. Ballmer,,MICROSOFT CORP,CEO,670,670,11.121,1340,1351.121,0.626,5.835,012141,2010,MALE,67,MSFT,4510,50
Christopher P. Liddell,,MICROSOFT CORP,,347.689,0,1903.728,347.689,5469.104,-38.097,128.651,012141,2010,MALE,65,MSFT,4510,100
Robert J. Bach,,MICROSOFT CORP,,645,1400,9.297,2045,7354.016,0.519,70.305,012141,2010,MALE,61,MSFT,4510,31.5403423
Stephen A. Elop,,MICROSOFT CORP,,645,1344,14.017,1989,7302.736,0.519,-29.677,012141,2010,MALE,59,MSFT,4510,32.42835596
Peter S. Klein,CFO,MICROSOFT CORP,,437.508,555,12.277,992.508,3643.316,,,012141,2010,MALE,61,MSFT,4510,44.08105527
Brian Kevin Turner,,MICROSOFT CORP,,645,1960,9.79,2605,2614.79,0.519,63.037,012141,2010,MALE,58,MSFT,4510,24.76007678
Steven A. Ballmer,,MICROSOFT CORP,CEO,682.5,682.5,11.915,1365,1376.915,1.866,1.909,012141,2011,MALE,67,MSFT,4510,50
Peter S. Klein,CFO,MICROSOFT CORP,,525,720,10.366,1245,3521.687,19.998,-3.338,012141,2011,MALE,61,MSFT,4510,42.1686747
Steven Jay Sinofsky,,MICROSOFT CORP,,649.167,1260,10.508,1909.167,7207.758,,,012141,2011,MALE,57,MSFT,4510,34.00263047
Kurt D. DelBene,,MICROSOFT CORP,,603.333,1450,10.994,2053.333,6219.249,,,012141,2011,MALE,63,MSFT,4510,29.38310542
Brian Kevin Turner,,MICROSOFT CORP,,732.5,1925,9.537,2657.5,2667.037,13.566,1.998,012141,2011,MALE,58,MSFT,4510,27.56349953
Steven A. Ballmer,,MICROSOFT CORP,CEO,685,620,13.128,1305,1318.128,0.366,-4.269,012141,2012,MALE,67,MSFT,4510,52.49042146
Peter S. Klein,CFO,MICROSOFT CORP,,580,950,11.03,1530,5108.836,10.476,45.068,012141,2012,MALE,61,MSFT,4510,37.90849673
Steven Jay Sinofsky,,MICROSOFT CORP,,658.333,1530,10.912,2188.333,8583.732,1.412,19.09,012141,2012,MALE,57,MSFT,4510,30.08376696
Kurt D. DelBene,,MICROSOFT CORP,,638.333,1812.5,10.298,2450.833,7906.725,5.801,27.133,012141,2012,MALE,63,MSFT,4510,26.04555268
Brian Kevin Turner,,MICROSOFT CORP,,762.5,2400,10.021,3162.5,3172.521,4.096,18.953,012141,2012,MALE,58,MSFT,4510,24.11067194
Steven A. Ballmer,,MICROSOFT CORP,CEO,697.5,550,13.718,1247.5,1261.218,1.825,-4.317,012141,2013,MALE,67,MSFT,4510,55.91182365
Peter S. Klein,CFO,MICROSOFT CORP,,598.333,0,11.82,598.333,4152.476,3.161,-18.72,012141,2013,MALE,61,MSFT,4510,100
Kurt D. DelBene,,MICROSOFT CORP,,669.167,1505.625,10.954,2174.792,7592.445,4.83,-3.975,012141,2013,MALE,63,MSFT,4510,30.76924138
Amy E. Hood,,MICROSOFT CORP,,365.954,457.443,11.153,823.397,8506.486,,,012141,2013,FEMALE,51,MSFT,4510,44.44441746
Satya Nadella,,MICROSOFT CORP,,669.167,1580.906,12.18,2250.073,7668.952,,,012141,2013,MALE,56,MSFT,4510,29.73979066
Brian Kevin Turner,,MICROSOFT CORP,,777.5,2138.125,10.484,2915.625,2926.109,1.967,-7.767,012141,2013,MALE,58,MSFT,4510,26.66666667
Steven A. Ballmer,,MICROSOFT CORP,CEO,417.083,0,66.501,417.083,520.042,-40.203,-58.767,012141,2014,MALE,67,MSFT,4510,100
Amy E. Hood,CFO,MICROSOFT CORP,,603.333,1583.75,11.399,2187.083,10463.058,64.866,23.001,012141,2014,FEMALE,51,MSFT,4510,27.58619586
Satya Nadella,,MICROSOFT CORP,,918.917,3600,12.729,4518.917,84308.755,37.323,999.352,012141,2014,MALE,56,MSFT,4510,20.3348944
"Heung Yeung Shum, Ph.D.",,MICROSOFT CORP,,573.939,2004.394,9.543,2578.333,17136.687,,,012141,2014,MALE,56,MSFT,4510,22.26008045
"Bradford L. Smith, LCA",,MICROSOFT CORP,,641.667,1925,15.082,2566.667,16964.804,,,012141,2014,MALE,64,MSFT,4510,25.00000974
Brian Kevin Turner,,MICROSOFT CORP,,796.667,2848.083,10.657,3644.75,3655.407,2.465,24.924,012141,2014,MALE,58,MSFT,4510,21.85793264
Amy E. Hood,CFO,MICROSOFT CORP,,675.985,1978,10.372,2653.985,8754.963,12.042,-16.325,012141,2015,FEMALE,51,MSFT,4510,25.47056596
Satya Nadella,,MICROSOFT CORP,CEO,1200,4320,13.007,5520,18294.27,30.589,-78.301,012141,2015,MALE,56,MSFT,4510,21.73913043
"Bradford L. Smith, LCA",,MICROSOFT CORP,,650,1300,16.847,1950,6800.682,1.299,-59.913,012141,2015,MALE,64,MSFT,4510,33.33333333
Margaret L. Johnson,,MICROSOFT CORP,,539.204,3795,18.765,4334.204,14533.595,,,012141,2015,FEMALE,61,MSFT,4510,12.44066961
Brian Kevin Turner,,MICROSOFT CORP,,800,2200,11.171,3000,3011.171,0.418,-17.624,012141,2015,MALE,58,MSFT,4510,26.66666667
Amy E. Hood,CFO,MICROSOFT CORP,,731.25,2304,12.73,3035.25,10374.63,8.175,18.5,012141,2016,FEMALE,51,MSFT,4510,24.09191994
Satya Nadella,,MICROSOFT CORP,CEO,1200,4464,14.104,5664,17692.031,0,-3.292,012141,2016,MALE,56,MSFT,4510,21.18644068
"Bradford L. Smith, LCA",,MICROSOFT CORP,,704.167,1972,18.497,2676.167,8610.612,8.333,26.614,012141,2016,MALE,64,MSFT,4510,26.31252086
Margaret L. Johnson,,MICROSOFT CORP,,704.167,1909,20.111,2613.167,6716.491,30.594,-53.786,012141,2016,FEMALE,61,MSFT,4510,26.94688093
Brian Kevin Turner,,MICROSOFT CORP,,866.667,2384,149.523,3250.667,12956.75,8.333,330.289,012141,2016,MALE,58,MSFT,4510,26.66120522
Amy E. Hood,CFO,MICROSOFT CORP,,852.917,0,89.26,852.917,11582.144,16.638,11.639,012141,2017,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,1450,0,97.189,1450,20014.152,20.833,13.125,012141,2017,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,785.833,0,98.989,785.833,10319.735,11.598,19.849,012141,2017,MALE,64,MSFT,4510,100
Margaret L. Johnson,,MICROSOFT CORP,,715,0,89.238,715,6880.955,1.538,2.449,012141,2017,FEMALE,61,MSFT,4510,100
Jean-Philippe Courtois,,MICROSOFT CORP,,751.054,0,45.214,751.054,18294.616,,,012141,2017,MALE,62,MSFT,4510,100
Amy E. Hood,CFO,MICROSOFT CORP,,875,0,98.442,875,14924.456,2.589,28.857,012141,2018,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,1500,0,111.055,1500,25843.263,3.448,29.125,012141,2018,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,800,0,111.055,800,13511.623,1.803,30.93,012141,2018,MALE,64,MSFT,4510,100
Margaret L. Johnson,,MICROSOFT CORP,,715,0,88.225,715,8758.015,0,27.279,012141,2018,FEMALE,61,MSFT,4510,100
Jean-Philippe Courtois,,MICROSOFT CORP,,833,0,51.187,833,11126.25,10.911,-39.183,012141,2018,MALE,62,MSFT,4510,100
Amy E. Hood,CFO,MICROSOFT CORP,,958.333,0,97.608,958.333,20227.633,9.524,35.533,012141,2019,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,2333.333,0,111.363,2333.333,42910.215,55.556,66.04,012141,2019,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,850,0,111.412,850,17372.997,6.25,28.578,012141,2019,MALE,64,MSFT,4510,100
Margaret L. Johnson,,MICROSOFT CORP,,715,0,91.525,715,10432.649,0,19.121,012141,2019,FEMALE,61,MSFT,4510,100
Jean-Philippe Courtois,,MICROSOFT CORP,,798,0,88.231,798,15084.754,-4.202,35.578,012141,2019,MALE,62,MSFT,4510,100
Amy E. Hood,CFO,MICROSOFT CORP,,975,0,123.574,975,19626.235,1.739,-2.973,012141,2020,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,2500,0,111.18,2500,44321.788,7.143,3.29,012141,2020,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,860,0,111.131,860,16667.714,1.176,-4.06,012141,2020,MALE,64,MSFT,4510,100
Margaret L. Johnson,,MICROSOFT CORP,,715,0,114.773,715,9575.481,0,-8.216,012141,2020,FEMALE,61,MSFT,4510,100
Jean-Philippe Courtois,,MICROSOFT CORP,,777,0,105.686,777,13949.304,-2.632,-7.527,012141,2020,MALE,62,MSFT,4510,100
Amy E. Hood,CFO,MICROSOFT CORP,,995.833,0,62.414,995.833,23466.14,2.137,19.565,012141,2021,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,2500,0,109.75,2500,49858.28,0,12.492,012141,2021,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,943.333,0,109.75,943.333,20455.896,9.69,22.728,012141,2021,MALE,64,MSFT,4510,100
Jean-Philippe Courtois,,MICROSOFT CORP,,932.167,0,65.948,932.167,16809.866,19.97,20.507,012141,2021,MALE,62,MSFT,4510,100
Christopher David Young,,MICROSOFT CORP,,541.875,3500,70.386,4041.875,28495.083,,,012141,2021,MALE,51,MSFT,4510,13.40652544
Amy E. Hood,CFO,MICROSOFT CORP,,1000,0,62.415,1000,26319.581,0.418,12.16,012141,2022,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,2500,0,110.25,2500,54946.309,0,10.205,012141,2022,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,993.333,0,110.277,993.333,23408.739,5.3,14.435,012141,2022,MALE,64,MSFT,4510,100
Christopher David Young,,MICROSOFT CORP,,850,1500,105.036,2350,11720.457,56.863,-58.868,012141,2022,MALE,51,MSFT,4510,36.17021277
Judson B. Althoff,,MICROSOFT CORP,,960,0,55.708,960,18848.999,,,012141,2022,MALE,49,MSFT,4510,100
Amy E. Hood,CFO,MICROSOFT CORP,,1000,0,156.946,1000,19902.897,0,-24.38,012141,2023,FEMALE,51,MSFT,4510,100
Satya Nadella,,MICROSOFT CORP,CEO,2500,0,361.65,2500,48512.537,0,-11.709,012141,2023,MALE,56,MSFT,4510,100
"Bradford L. Smith, LCA",,MICROSOFT CORP,,1000,0,212.777,1000,18115.689,0.671,-22.611,012141,2023,MALE,64,MSFT,4510,100
Christopher David Young,,MICROSOFT CORP,,850,0,163.127,850,8323.565,0,-28.983,012141,2023,MALE,51,MSFT,4510,100
Judson B. Althoff,,MICROSOFT CORP,,960,0,152.277,960,16204.719,0,-14.029,012141,2023,MALE,49,MSFT,4510,100
Jeffrey P. Bezos,,AMAZON.COM INC,,64.333,0,0,64.333,64.333,,,064768,1996,MALE,59,AMZN,2550,100
Jeffrey P. Bezos,,AMAZON.COM INC,CEO,79.197,0,0,79.197,79.197,23.105,23.105,064768,1997,MALE,59,AMZN,2550,100
George T. Aposporos,,AMAZON.COM INC,,91.966,22.379,7.621,114.345,794.696,,,064768,1997,MALE,,AMZN,2550,80.4285277
Richard L. Dalzell,,AMAZON.COM INC,,92.871,149.174,23.747,242.045,1743.929,,,064768,1997,MALE,,AMZN,2550,38.36931149
