EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
"H. Lee Scott, Jr.",,WALMART INC,CEO,1292.308,3941.561,977.911,5233.869,16652.894,4.025,-12.429,011259,2005,MALE,75,WMT,3010,24.69125612
John B. Menzer,,WALMART INC,,943.846,1651.752,641.268,2595.598,6980.075,8.297,-8.26,011259,2005,MALE,72,WMT,3010,36.36333515
Thomas M. Schoewe,,WALMART INC,,670.385,935.58,210.666,1605.965,3746.644,4.685,-7.512,011259,2005,MALE,71,WMT,3010,41.74343775
Michael Terry Duke,,WALMART INC,,767.692,1141.319,433.2,1909.011,5020.735,15.912,11.67,011259,2005,MALE,74,WMT,3010,40.21412134
Eduardo Xavier Castro-Wright,,WALMART INC,,642.056,859.197,727.111,1501.253,5226.057,15.01,,011259,2005,MALE,69,WMT,3010,42.76800779
"H. Lee Scott, Jr.",,WALMART INC,CEO,1300,0,422.68,1300,23033.096,0.595,38.313,011259,2006,MALE,75,WMT,3010,100
John B. Menzer,,WALMART INC,,1000,0,154.321,1000,10502.357,5.949,50.462,011259,2006,MALE,72,WMT,3010,100
Thomas M. Schoewe,CFO,WALMART INC,,700.385,0,135.101,700.385,5551.602,4.475,48.175,011259,2006,MALE,71,WMT,3010,100
Michael Terry Duke,,WALMART INC,,900,0,169.9,900,9458.2,17.235,88.383,011259,2006,MALE,74,WMT,3010,100
Eduardo Xavier Castro-Wright,,WALMART INC,,721.154,50,92.162,771.154,6483.594,12.319,24.063,011259,2006,MALE,69,WMT,3010,93.51621077
"H. Lee Scott, Jr.",,WALMART INC,CEO,1400,0,431.446,1400,29682.064,7.692,28.867,011259,2007,MALE,75,WMT,3010,100
John B. Menzer,,WALMART INC,,1040,0,205.347,1040,5664.973,4,-46.06,011259,2007,MALE,72,WMT,3010,100
Thomas M. Schoewe,CFO,WALMART INC,,740,0,117.198,740,6792.488,5.656,22.352,011259,2007,MALE,71,WMT,3010,100
Michael Terry Duke,,WALMART INC,,975,0,264.404,975,12859.264,8.333,35.959,011259,2007,MALE,74,WMT,3010,100
Eduardo Xavier Castro-Wright,,WALMART INC,,775,25,128.267,800,12754.774,7.467,96.724,011259,2007,MALE,69,WMT,3010,96.875
"H. Lee Scott, Jr.",,WALMART INC,CEO,1456,0,652.485,1456,8371.057,4,-71.798,011259,2008,MALE,75,WMT,3010,100
Thomas M. Schoewe,CFO,WALMART INC,,780,249.6,205.86,1029.6,7399.985,5.405,8.944,011259,2008,MALE,71,WMT,3010,75.75757576
Michael Terry Duke,,WALMART INC,,1050,0,380.343,1050,29283.771,7.692,127.725,011259,2008,MALE,74,WMT,3010,100
